%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
      0.089510577      0.001175627      0.010433978        352.66535        2.1066489        18.355856       0.35266535     0.0021066489      0.018355856    0.00044361552    2.6499403e-06    2.3089715e-05        353.14901       0.35314901    0.00044422391 
      0.091708654      0.001175627      0.010433978        323.30732        2.2486743        19.572566       0.32330732     0.0022486743      0.019572566    0.00040668624    2.8285932e-06    2.4620208e-05        323.90703       0.32390703    0.00040744061 
      0.093906731      0.001175627      0.010433978         290.8538        2.4163342        20.994518        0.2908538     0.0024163342      0.020994518    0.00036586317    3.0394915e-06    2.6408872e-05        291.62055       0.29162055    0.00036682765 
      0.096104808      0.001175627      0.010433978        253.81057        2.6317127        22.796103       0.25381057     0.0026317127      0.022796103    0.00031926672    3.3104148e-06    2.8675074e-05        254.84583       0.25484583    0.00032056896 
      0.098302885      0.001175627      0.010433978        209.76176        2.8943409          24.7575       0.20976176     0.0028943409        0.0247575      0.000263858    3.6407731e-06    3.1142304e-05        211.23756       0.21123756     0.0002657144 
       0.10050096      0.001175627      0.010433978        137.22508        4.5518096        38.675334       0.13722508     0.0045518096      0.038675334    0.00017261456    5.7256926e-06    4.8649459e-05        142.64369       0.14264369     0.0001794306 
       0.07063692     0.0011122857     0.0098718085        917.05125        23.880338        222.04866       0.91705125      0.023880338       0.22204866      0.001153553    3.0038927e-05    0.00027931361        943.85321       0.94385321      0.001187267 
       0.07222442     0.0011542724      0.010244451        618.29409        17.838988        160.29776       0.61829409      0.017838988       0.16029776    0.00077774824     2.243955e-05    0.00020163754         638.9845        0.6389845    0.00080377457 
      0.018416667     0.0010916536      0.009688694        1596.7894       0.31642073        2.5090979        1.5967894    0.00031642073     0.0025090979     0.0020085914    3.9802364e-07    3.1561784e-06        1596.7914        1.5967914     0.0020085939 
          0.01625     0.0010916536      0.009688694        1603.6646       0.25496749        2.2130903        1.6036646    0.00025496749     0.0022130903     0.0020172396      3.20722e-07    2.7838323e-06        1603.6662        1.6036662     0.0020172416 
      0.014083333     0.0010916536      0.009688694        1609.6439       0.21700322         1.915633        1.6096439    0.00021700322      0.001915633     0.0020247609    2.7296698e-07    2.4096627e-06        1609.6451        1.6096451     0.0020247624 
      0.011916667     0.0010916536      0.009688694        1614.7567       0.18198469        1.6189888        1.6147567    0.00018198469     0.0016189888     0.0020311923    2.2891739e-07    2.0365158e-06        1614.7575        1.6147575     0.0020311933 
          0.00975     0.0010916536      0.009688694        1619.0098       0.14810995        1.3231766        1.6190098    0.00014810995     0.0013231766     0.0020365423    1.8630657e-07    1.6644155e-06        1619.0104        1.6190104     0.0020365429 
     0.0075833333     0.0010916536      0.009688694         1622.408       0.11589368        1.0279575         1.622408    0.00011589368     0.0010279575     0.0020408168    1.4578193e-07    1.2930612e-06        1622.4083        1.6224083     0.0020408172 
     0.0054166667     0.0010916536      0.009688694         1624.969       0.09861618       0.73165162         1.624969     9.861618e-05    0.00073165162     0.0020440383    1.2404867e-07    9.2033997e-07        1624.9692        1.6249692     0.0020440385 
          0.00325     0.0010916536      0.009688694        1626.6384      0.014332003       0.44314415        1.6266384    1.4332003e-05    0.00044314415     0.0020461382    1.8028137e-08    5.5742824e-07        1626.6385        1.6266385     0.0020461383 
     0.0010833333     0.0010916536      0.009688694        1627.0929      -0.31662254        0.1833621        1.6270929   -0.00031662254     0.0001833621     0.0020467099    -3.982775e-07    2.3065004e-07         1627.093         1.627093       0.00204671 

