%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
      0.068755435     0.0010916536      0.009688694        17.362407     0.0054082124      0.047836256        8.6812037     0.0027041062      0.023918128    3.2727367e-05     1.019424e-08    9.0169218e-08        17.362474        8.6812371    3.2727493e-05 
      0.066566304     0.0010916536      0.009688694        16.911399     -0.012130268      -0.10766407        8.4556995    -0.0060651339     -0.053832033    3.1877236e-05   -2.2865016e-08   -2.0294198e-07        16.911746        8.4558731     3.187789e-05 
      0.064377174     0.0010916536      0.009688694        16.643049     -0.011606296      -0.10301212        8.3215245     -0.005803148     -0.051506061    3.1371408e-05   -2.1877353e-08   -1.9417327e-07        16.643372        8.3216859    3.1372017e-05 
      0.062188043     0.0010916536      0.009688694        16.480354    -0.0098773746     -0.087666413         8.240177    -0.0049386873     -0.043833206    3.1064736e-05   -1.8618412e-08   -1.6524729e-07         16.48059        8.2402951    3.1065181e-05 
      0.059998913     0.0010916536      0.009688694        16.371872     -0.008138842     -0.072235895        8.1859359     -0.004069421     -0.036117948    3.0860251e-05   -1.5341356e-08   -1.3616146e-07        16.372033        8.1860166    3.0860556e-05 
      0.057809783     0.0010916536      0.009688694        16.294601    -0.0066313892     -0.058856499        8.1473006    -0.0033156946      -0.02942825      3.07146e-05   -1.2499874e-08   -1.1094189e-07        16.294709        8.1473544    3.0714802e-05 
      0.055620652     0.0010916536      0.009688694        16.236945    -0.0053844142     -0.047789022        8.1184724    -0.0026922071     -0.023894511     3.060592e-05   -1.0149382e-08   -9.0080184e-08        16.237016         8.118508    3.0606054e-05 
      0.053431522     0.0010916536      0.009688694        16.192502    -0.0043729288     -0.038811639        8.0962511    -0.0021864644     -0.019405819    3.0522148e-05   -8.2427765e-09   -7.3158215e-08        16.192549        8.0962747    3.0522236e-05 
      0.051242391     0.0010916536      0.009688694        16.157453    -0.0035594084     -0.031591289        8.0787267    -0.0017797042     -0.015795645    3.0456082e-05   -6.7093268e-09   -5.9548177e-08        16.157485        8.0787423    3.0456141e-05 
      0.049053261     0.0010916536      0.009688694        16.129358    -0.0029069781     -0.025800686        8.0646792     -0.001453489     -0.012900343    3.0403124e-05   -5.4795246e-09   -4.8633148e-08        16.129379        8.0646896    3.0403164e-05 
       0.04686413     0.0010916536      0.009688694        16.106567    -0.0023835295     -0.021154853        8.0532833    -0.0011917647     -0.010577427    3.0360163e-05   -4.4928472e-09   -3.9875959e-08        16.106581        8.0532903    3.0360189e-05 
         0.044675     0.0010916536      0.009688694        16.087908    -0.0019625526     -0.017418502         8.043954    -0.0009812763    -0.0087092508    3.0324992e-05   -3.6993245e-09   -3.2833102e-08        16.087918        8.0439588     3.032501e-05 
       0.04248587     0.0010916536      0.009688694        16.072523    -0.0016227482      -0.01440259        8.0362617   -0.00081137408    -0.0072012952    3.0295993e-05   -3.0588082e-09   -2.7148243e-08         16.07253         8.036265    3.0296005e-05 
      0.040296739     0.0010916536      0.009688694        16.059764    -0.0013472484     -0.011957411        8.0298822   -0.00067362422    -0.0059787057    3.0271943e-05   -2.5395035e-09    -2.253919e-08        16.059769        8.0298844    3.0271951e-05 
      0.038107609     0.0010916536      0.009688694        16.049131      -0.00112279    -0.0099652461        8.0245657   -0.00056139499    -0.0049826231      3.02519e-05   -2.1164093e-09   -1.8784046e-08        16.049134        8.0245672    3.0251906e-05 
      0.035918478     0.0010916536      0.009688694        16.040234   -0.00093897024    -0.0083337672         8.020117   -0.00046948512    -0.0041668836    3.0235129e-05   -1.7699172e-09   -1.5708781e-08        16.040236        8.0201181    3.0235133e-05 
      0.033729348     0.0010916536      0.009688694        16.032764   -0.00078762711    -0.0069905332        8.0163819   -0.00039381356    -0.0034952666    3.0221048e-05   -1.4846421e-09   -1.3176845e-08        16.032765        8.0163827    3.0221051e-05 
      0.031540217     0.0010916536      0.009688694        16.026474   -0.00066234117    -0.0058785704        8.0132371   -0.00033117058    -0.0029392852    3.0209192e-05   -1.2484837e-09   -1.1080844e-08        16.026475        8.0132377    3.0209194e-05 
      0.029351087     0.0010916536      0.009688694        16.021168   -0.00055804442    -0.0049529022        8.0105838   -0.00027902221    -0.0024764511    3.0199189e-05    -1.051889e-09   -9.3360007e-09        16.021168        8.0105842    3.0199191e-05 
      0.027161957     0.0010916536      0.009688694        16.016684   -0.00047071631     -0.004177856         8.008342   -0.00023535816     -0.002088928    3.0190738e-05   -8.8727935e-10    -7.875073e-09        16.016685        8.0083423    3.0190739e-05 
      0.024972826     0.0010916536      0.009688694        16.012894    -0.0003971477    -0.0035249839        8.0064468   -0.00019857385    -0.0017624919    3.0183593e-05   -7.4860577e-10   -6.6444381e-09        16.012894         8.006447    3.0183594e-05 
      0.022783696     0.0010916536      0.009688694        16.009691   -0.00033476176    -0.0029714587        8.0048455   -0.00016738088    -0.0014857293    3.0177556e-05   -6.3101105e-10   -5.6010677e-09        16.009691        8.0048456    3.0177557e-05 
      0.020594565     0.0010916536      0.009688694         16.00699   -0.00028089106    -0.0024988117         8.003495   -0.00014044553    -0.0012494059    3.0172465e-05   -5.2946718e-10   -4.7101491e-09         16.00699        8.0034951    3.0172466e-05 
      0.074124038      0.001175627      0.010433978        13.876304    -0.0092519748     -0.082063658        6.9381522    -0.0046259874     -0.041031829    2.6156218e-05   -1.7439562e-08   -1.5468635e-07         13.87655        6.9382751    2.6156681e-05 
      0.076322115      0.001175627      0.010433978        14.244895     -0.013853627      -0.12293402        7.1224477    -0.0069268137     -0.061467011    2.6850995e-05   -2.6113472e-08   -2.3172517e-07        14.245433        7.1227163    2.6852008e-05 
      0.078520192      0.001175627      0.010433978         14.43389    -0.0086007137     -0.076325824         7.216945    -0.0043003569     -0.038162912    2.7207242e-05   -1.6211963e-08   -1.4387079e-07        14.434094        7.2170472    2.7207627e-05 
      0.080718269      0.001175627      0.010433978        14.522807    -0.0032562956     -0.028897405        7.2614033    -0.0016281478     -0.014448703    2.7374846e-05   -6.1379726e-09   -5.4470325e-08        14.522836        7.2614179      2.73749e-05 
      0.082916346      0.001175627      0.010433978         14.54863     0.0019220639      0.017059806        7.2743152    0.00096103193      0.008529903    2.7423522e-05     3.623005e-09    3.2156977e-08         14.54864        7.2743202    2.7423541e-05 
      0.085114423      0.001175627      0.010433978        14.525273     0.0071371263      0.063343716        7.2626366     0.0035685631      0.031671858    2.7379495e-05    1.3453166e-08    1.1940009e-07        14.525413        7.2627065    2.7379758e-05 
        0.0873125      0.001175627      0.010433978         14.45575      0.012656158       0.11232574        7.2278752      0.006328079      0.056162869    2.7248447e-05    2.3856296e-08    2.1172903e-07        14.456192        7.2280961     2.724928e-05 
      0.089510577      0.001175627      0.010433978         14.33509      0.018790861       0.16677198        7.1675451     0.0093954307      0.083385988    2.7021008e-05    3.5419939e-08    3.1435777e-07        14.336072        7.1680362     2.702286e-05 
      0.091708654      0.001175627      0.010433978        14.148795      0.025936545        0.2301906        7.0743974      0.012968272        0.1150953     2.666985e-05    4.8889235e-08    4.3389905e-07        14.150691        7.0753455    2.6673424e-05 
      0.093906731      0.001175627      0.010433978         13.86578      0.034679414       0.30778381        6.9328898      0.017339707        0.1538919    2.6136379e-05    6.5369155e-08    5.8015881e-07        13.869239        6.9346193    2.6142899e-05 
      0.096104808      0.001175627      0.010433978        13.417657      0.046132773       0.40943271        6.7088286      0.023066386       0.20471636    2.5291688e-05    8.6958228e-08    7.7176248e-07        13.423982        6.7119909     2.530361e-05 
      0.098302885      0.001175627      0.010433978        12.635051      0.063423687       0.56286758        6.3175255      0.031711843       0.28143379     2.381651e-05    1.1955083e-07    1.0609804e-06        12.647741        6.3238706     2.384043e-05 
       0.10050096      0.001175627      0.010433978        10.559695       0.10740927       0.95321219        5.2798476      0.053704637        0.4766061    1.9904557e-05    2.0246171e-07    1.7967626e-06        10.603175        5.3015873    1.9986513e-05 
       0.07063692     0.0011122857     0.0098718085        16.092644        0.1922298        1.7057628        8.0463218        0.0961149       0.85288141    3.0333918e-05    3.6234464e-07    3.2152872e-06        16.183935        8.0919676    3.0505999e-05 
       0.07222442     0.0011542724      0.010244451        14.241779       0.13181927        1.1709244        7.1208897      0.065909633        0.5854622    2.6845122e-05    2.4847346e-07    2.2071405e-06        14.290442        7.1452208    2.6936848e-05 
      0.018416667     0.0010916536      0.009688694        16.004733   -0.00023527389    -0.0020940628        8.0023665   -0.00011763695    -0.0010470314    3.0168211e-05   -4.4348084e-10   -3.9472153e-09        16.004733        8.0023666    3.0168211e-05 
          0.01625     0.0010916536      0.009688694        16.002852   -0.00019648604    -0.0017442024        8.0014261   -9.8243022e-05   -0.00087210122    3.0164666e-05   -3.7036747e-10   -3.2877442e-09        16.002852        8.0014261    3.0164666e-05 
      0.014083333     0.0010916536      0.009688694        16.001291   -0.00016188792    -0.0014369517        8.0006455    -8.094396e-05   -0.00071847583    3.0161723e-05   -3.0515154e-10   -2.7085901e-09        16.001291        8.0006455    3.0161723e-05 
      0.011916667     0.0010916536      0.009688694        16.000013   -0.00013115004    -0.0011640478        8.0000066   -6.5575022e-05   -0.00058202389    3.0159314e-05   -2.4721201e-10   -2.1941784e-09        16.000013        8.0000066    3.0159314e-05 
          0.00975     0.0010916536      0.009688694        15.998989   -0.00010348144   -0.00091843024        7.9994944   -5.1740718e-05   -0.00045921512    3.0157383e-05   -1.9505791e-10   -1.7312002e-09        15.998989        7.9994944    3.0157383e-05 
     0.0075833333     0.0010916536      0.009688694        15.998194   -7.8194438e-05   -0.00069400619        7.9990972   -3.9097219e-05    -0.0003470031    3.0155886e-05   -1.4739304e-10   -1.3081709e-09        15.998194        7.9990972    3.0155886e-05 
     0.0054166667     0.0010916536      0.009688694        15.997611   -5.4633302e-05    -0.0004854529        7.9988054   -2.7316651e-05   -0.00024272645    3.0154786e-05   -1.0298135e-10   -9.1505717e-10        15.997611        7.9988054    3.0154786e-05 
          0.00325     0.0010916536      0.009688694        15.997216     -3.23108e-05   -0.00028835326        7.9986078     -1.61554e-05   -0.00014417663    3.0154041e-05   -6.0904423e-11   -5.4353309e-10        15.997216        7.9986078    3.0154041e-05 
     0.0010833333     0.0010916536      0.009688694        15.996927    7.5684199e-06   -0.00010069783        7.9984637      3.78421e-06   -5.0348917e-05    3.0153498e-05    1.4266135e-11   -1.8981094e-10        15.996927        7.9984637    3.0153498e-05 

