%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
             7.25      -0.96097546            0.625        1902.8089        1208014.1        -3143.252        1.9047136        1209.2233       -3.1463984     0.0023935338        1.5195548    -0.0039538808        1208019.7        1209.2289        1.5195619 
                7      -0.92783838            0.625        1957.3212        1214866.2       -3152.7005        1.9592805        1216.0823       -3.1558564     0.0024621045         1.528174    -0.0039657661        1214871.8        1216.0879        1.5281812 
             7.75      -0.77043723            0.625       -3453.9443        1195684.4       -3706.5747       -3.4574017        1196.8812        -3.710285    -0.0043446991        1.5040453    -0.0046624816        1195695.1         1196.892        1.5040588 
              7.5      -0.74558441            0.625        201.73255        1210292.7       -2475.6356       0.20193449        1211.5042       -2.4781137    0.00025375836        1.5224211    -0.0031140895        1210295.2        1211.5067        1.5224243 
             7.25       -0.7207316            0.625        1093.9779          1210341       -2312.1032         1.095073        1211.5525       -2.3144176     0.0013761093        1.5224818    -0.0029083829        1210343.7        1211.5552        1.5224852 
                7      -0.69587878            0.625        1328.4654        1214391.5       -2300.5438        1.3297952        1215.6071       -2.3028467     0.0016710699         1.527577    -0.0028938425        1214394.4          1215.61        1.5275806 
             7.75      -0.51362482            0.625        -2273.919        1205390.8       -2423.7492       -2.2761951        1206.5974       -2.4261754    -0.0028603512        1.5162551    -0.0030488219        1205395.4         1206.602        1.5162608 
              7.5      -0.49705627            0.625        69.002322        1211868.4        -1613.258      0.069071393        1213.0814       -1.6148728    8.6797672e-05        1.5244031    -0.0020293091        1211869.4        1213.0825        1.5244044 
             7.25      -0.48048773            0.625        610.84597        1212018.4       -1488.7205       0.61145743        1213.2316       -1.4902107    0.00076838006        1.5245918     -0.001872654        1212019.4        1213.2327        1.5245931 
                7      -0.46391919            0.625        781.54537        1214162.2       -1460.7149        0.7823277        1215.3776       -1.4621771    0.00098310198        1.5272885    -0.0018374259        1214163.3        1215.3787        1.5272899 
