%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
              7.5        2.7338095            0.625       -150782.09        1048989.5        20749.639 
             7.25        2.6426825            0.625       -185689.79        1191160.8        12564.854 
                7        2.5515555            0.625       -86110.728        1363196.9        11614.256 
             7.75        3.0817489            0.625       -24131.071         639002.2        83299.329 
              7.5        2.9823376            0.625       -190682.31        884401.65        25159.322 
             7.25        2.8829264            0.625       -357700.01        1080962.1        15699.889 
                7        2.7835151            0.625       -217168.31        1567867.6         5857.825 
             7.75       -3.0817489            0.375        58679.271        745088.32        -78570.78 
              7.5       -2.9823376            0.375        226995.73        868187.69       -25071.131 
             7.25       -2.8829264            0.375         377117.7        1085420.5       -10590.727 
                7       -2.7835151            0.375        226940.42        1536174.6        1627.0773 
             7.75       -2.8249365            0.375         32210.52        961367.16       -27004.599 
              7.5       -2.7338095            0.375        138800.38        1045515.5       -16727.613 
             7.25       -2.6426825            0.375        168838.47        1213731.3       -7834.3266 
                7       -2.5515555            0.375        74390.739        1318624.4       -5995.9485 
             7.75       -2.5681241            0.375        20964.426        1072661.7       -8911.6669 
              7.5       -2.4852814            0.375        75311.277        1135536.3        -7453.827 
             7.25       -2.4024387            0.375        71336.571        1214304.1       -6328.1547 
                7       -2.3195959            0.375        26833.015        1245248.2       -5288.6267 
             7.75       -2.3113117            0.375        5038.3203        1140819.3       -3086.7275 
              7.5       -2.2367532            0.375          32159.3        1169064.6       -4714.2237 
             7.25       -2.1621948            0.375        30432.016        1206056.2       -5250.8307 
                7       -2.0876364            0.375        10898.841        1217769.1       -4673.3133 
             7.75       -2.0544993            0.375       -2575.0734        1174164.6       -2120.7661 
              7.5       -1.9882251            0.375         11540.77        1185686.2       -3826.7771 
             7.25       -1.9219509            0.375        12024.038        1203285.7       -4479.6517 
                7       -1.8556768            0.375        4124.7034        1207859.6       -4058.7152 
             7.75       -1.7976869            0.375       -5370.8649        1191114.9       -1950.0763 
              7.5        -1.739697            0.375        2572.5133        1195229.2       -3277.3211 
             7.25       -1.6817071            0.375        4090.7513        1203635.5       -3770.5039 
                7       -1.6237172            0.375        1322.2479        1205358.1       -3433.1843 
             7.75       -1.5408745            0.375       -5940.0273        1200213.5       -1778.5687 
              7.5       -1.4911688            0.375       -1166.3265        1201438.6        -2804.865 
             7.25       -1.4414632            0.375        722.51895        1205538.2       -3209.3793 
                7       -1.3917576            0.375         244.0014          1205778       -2911.5506 
             7.75        -1.284062            0.375       -5470.0822        1205460.6       -1588.2698 
              7.5       -1.2426407            0.375       -2345.9627        1205811.5       -2355.0534 
             7.25       -1.2012193            0.375       -685.55479          1207881       -2626.9047 
                7        -1.159798            0.375        -321.4147        1207402.6       -2398.1986 
             7.75       -1.0272496            0.375       -4633.3382        1208680.9       -1319.3298 
              7.5      -0.99411255            0.375       -2535.2378        1209143.6       -1888.7325 
             7.25      -0.96097546            0.375       -1114.7756        1209912.5        -2071.532 
                7      -0.92783838            0.375       -483.43675        1209379.8       -1897.7164 
             7.75      -0.77043723            0.375       -3514.3155        1210685.7       -1001.8932 
              7.5      -0.74558441            0.375       -2181.8451        1211543.4       -1396.8352 
             7.25       -0.7207316            0.375        -1121.218        1211642.5        -1530.084 
                7      -0.69587878            0.375       -448.97248        1211159.5        -1387.451 
             7.75      -0.51362482            0.375       -2315.7004        1211978.1       -664.05547 
              7.5      -0.49705627            0.375       -1481.6805        1213082.4       -913.73306 
             7.25      -0.48048773            0.375       -825.76587        1212921.9       -981.66422 
                7      -0.46391919            0.375       -367.26776          1212495       -878.50401 
             7.75      -0.25681241            0.375       -1128.6619        1212696.2        -301.5113 
              7.5      -0.24852814            0.375       -762.44236        1213948.5        -416.8504 
             7.25      -0.24024387            0.375       -459.60992        1213640.8       -438.78802 
                7      -0.23195959            0.375       -235.27673        1213271.7        -368.1052 
             7.75   -8.4654506e-16            0.375        62.244003        1212858.5        65.285795 
              7.5   -8.4654506e-16            0.375        -10.48404        1214155.2        78.489835 
             7.25   -9.5062846e-16            0.375       -82.442074        1213817.8        101.59751 
                7   -9.7144515e-16            0.375       -117.48418        1213447.5        140.47862 
             7.75       0.25681241            0.375        1253.6073        1212482.3        431.90724 
              7.5       0.24852814            0.375        742.45939        1213716.9         573.5549 
             7.25       0.24024387            0.375        295.99486          1213421        641.42646 
                7       0.23195959            0.375        1.4466097        1213032.5        648.01038 
