%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
            7.575       0.60729053          0.65625        118.28076         7372.339        208.43322 
            7.375       0.59125646          0.65625       -27.928496        7380.8422        196.26273 
            7.175       0.57522238          0.65625       -176.39112        7396.9663        215.80591 
            6.975       0.55918831          0.65625       -309.11205         7481.346        331.31153 
            7.775       0.83109947          0.65625        282.75996        7119.4046         328.7704 
            7.575       0.80972071          0.65625        126.31222        7205.8334        220.92785 
            7.375       0.78834194          0.65625       -28.274792        7219.0857        207.49882 
            7.175       0.76696318          0.65625        -184.7291        7240.2489        227.54719 
            6.975       0.74558441          0.65625       -323.95656        7353.4018        348.28823 
            7.775        1.0388743          0.65625        301.21087        6910.8642        349.49377 
            7.575        1.0121509          0.65625        134.61134        7029.5505        234.16531 
            7.375       0.98542743          0.65625       -28.754982         7048.299        219.33366 
            7.175       0.95870397          0.65625       -193.43291        7075.2715        239.84272 
            6.975       0.93198052          0.65625       -339.26656        7219.8009        365.91567 
            7.775        1.2466492          0.65625        320.89809        6687.3548        371.75781 
            7.575        1.2145811          0.65625        142.95848        6842.6463        248.30425 
            7.375        1.1825129          0.65625       -29.813911        6868.0647        231.91103 
            7.175        1.1504448          0.65625       -202.86439         6901.858        252.80818 
            6.975        1.1183766          0.65625       -355.18976        7080.6226         384.3175 
            7.775        1.4544241          0.65625        341.80851        6446.4985        395.93224 
            7.575        1.4170112          0.65625        150.75563         6643.905        263.56116 
            7.375        1.3795984          0.65625        -32.16103        6677.7568        245.35497 
            7.175        1.3421856          0.65625       -213.65859        6719.9435        266.53016 
            6.975        1.3047727          0.65625       -372.00964        6936.2163        403.60874 
            7.775        1.6621989          0.65625         363.9596        6184.5394        422.60545 
            7.575        1.6194414          0.65625        156.75453        6431.3116        280.28488 
            7.375        1.5766839          0.65625       -37.407373        6476.6225        259.93675 
            7.175        1.5339264          0.65625       -226.84565         6529.775        281.20339 
            6.975        1.4911688          0.65625       -390.07499        6787.3427        423.94321 
            7.775        1.8699738          0.65625        386.78189        5894.9213        452.56108 
            7.575        1.8218716          0.65625        158.32412        6201.3824        298.83502 
            7.375        1.7737694          0.65625       -48.537383        6263.6197        275.95149 
            7.175        1.7256671          0.65625       -244.82084        6332.1107        297.09376 
            6.975        1.6775649          0.65625       -410.34707        6635.6424        445.53452 
            7.775        2.0777487          0.65625        409.53445        5566.2356        487.12294 
            7.575        2.0243018          0.65625        150.71707        5947.8926        319.99417 
            7.375        1.9708549          0.65625       -71.490778        6036.7401        293.81798 
            7.175        1.9174079          0.65625       -271.91798        6128.6437        314.39097 
            6.975         1.863961          0.65625       -434.35943        6484.5279        468.56545 
            7.775        2.2855235          0.65625        431.04459        5178.9679        528.61098 
            7.575        2.2267319          0.65625        125.79376        5659.0531        344.95082 
            7.375        2.1679403          0.65625       -117.02586        5791.8079        314.27573 
            7.175        2.1091487          0.65625       -316.74359        5922.4674        333.44601 
            6.975        2.0503571          0.65625       -465.34292        6340.5686        493.19074 
            7.775        2.4932984          0.65625        451.61535        4701.6784        582.06384 
            7.575        2.4291621          0.65625        72.038549        5312.8542        376.19096 
            7.375        2.3650258          0.65625       -204.43095        5517.4537        338.57541 
            7.175        2.3008895          0.65625       -396.98397        5718.0621        354.54948 
            6.975        2.2367532          0.65625       -510.16976        6216.7768        519.21104 
            7.775        2.7010733          0.65625         471.5186        4082.8659        659.16467 
            7.575        2.6315923          0.65625        -26.49953        4871.9481        421.06846 
            7.375        2.5621113          0.65625       -364.42452        5182.4619        370.25137 
            7.175        2.4926303          0.65625       -550.40665         5514.533        377.73094 
            6.975        2.4231493          0.65625        -586.3878        6140.6467        544.73781 
            7.775        2.9088481          0.65625        499.12403        3382.3526         716.2316 
            7.575        2.8340225          0.65625       -103.15828         4291.883        473.98426 
            7.375        2.7591968          0.65625       -612.63671        4697.5474        415.53093 
            7.175        2.6843711          0.65625       -856.31038        5267.5769        403.39443 
            6.975        2.6095454          0.65625       -743.85685        6172.8763        561.68961 
            7.775         3.116623          0.65625         555.5452        2826.5091        910.90714 
            7.575        3.0364526          0.65625       -193.49768        3552.4625        492.86852 
            7.375        2.9562823          0.65625       -872.76475        4041.8849        421.78048 
            7.175        2.8761119          0.65625       -1389.5376        4717.0252        411.70985 
            6.975        2.7959415          0.65625       -1086.8998        6507.3339        493.30568 
            7.775        -3.116623          0.46875        853.77546        4858.0787        82.662548 
            7.575       -3.0364526          0.46875        2114.6744        5986.1569         41.38595 
            7.375       -2.9562823          0.46875        3008.1534         7224.772        30.718693 
            7.175       -2.8761119          0.46875        3742.4191        8934.9406        29.578772 
            6.975       -2.7959415          0.46875        2125.7944        12704.726        32.791761 
            7.775       -2.9088481          0.46875        553.14704        6300.9438         32.11145 
            7.575       -2.8340225          0.46875        1478.6605        7112.1894        17.872747 
            7.375       -2.7591968          0.46875        2037.8471        8177.5594        18.139655 
