%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0             0.05                0       -52.597773        239350.68     -0.079510185        67.269803         360087.8     -0.079510185 
          0.00098             0.05          0.00995       -47.794514        239369.01        36.973546        72.062295         360104.8        24.885422 
          0.00196             0.05           0.0199       -52.336722        239374.92        51.735035        67.507118        360107.11        27.559385 
          0.00294             0.05          0.02985       -52.195809        239381.02        65.734884        67.632808        360107.34        29.473316 
          0.00392             0.05           0.0398       -52.047982        239389.75        79.796689        67.763106        360107.93        31.451819 
           0.0049             0.05          0.04975        -51.89466        239401.07        93.905613        67.896544        360108.85        33.481069 
          0.00588             0.05           0.0597        -51.73813        239413.82        108.04734        68.030783        360108.94        35.547759 
          0.00686             0.05          0.06965       -49.038243        239423.06        114.42378        70.705922        360103.24        29.854799 
          0.00784             0.05           0.0796       -43.113942         239427.7        141.69745        76.602967        360090.68        45.065723 
          0.00882             0.05          0.08955       -47.448083        239444.02        161.10957        72.239013        360087.54        52.422753 
           0.0098             0.05           0.0995       -42.861485        239465.34        185.39427        76.793191        360087.14        64.661024 
          0.01078             0.05          0.10945       -40.860677        239488.59        203.78122         78.75892         360086.4        71.011199 
          0.01176             0.05           0.1194       -42.123224        239519.51        215.60922        77.458589        360091.09        70.813091 
          0.01274             0.05          0.12935       -46.058569         239546.4        226.40817        73.482704        360089.48        69.597593 
          0.01372             0.05           0.1393       -51.462616        239579.97        249.38416        68.035312         360092.3        80.571786 
           0.0147             0.05          0.14925       -49.097998        239669.34        253.87654        70.353733        360148.68        73.076018 
          0.01568             0.05           0.1592        -54.77446        239733.38        283.68376        64.628172        360177.48        90.909742 
          0.01666             0.05          0.16915       -52.367293        239787.84        311.52077        66.983292        360194.46        106.78887 
          0.01764             0.05           0.1791       -36.388922        239763.86        300.91759         82.90662        360130.75        84.244437 
          0.01862             0.05          0.18905       -43.393141        239739.43        311.18248        75.844314        360064.35        82.585668 
           0.0196             0.05            0.199       -106.25288        239763.14        307.88799        12.923399        360043.87        67.386094 
          0.02058             0.05          0.20895       -115.58891        239788.37        320.23509        3.5230593        360022.67        67.847668 
          0.02156             0.05           0.2189        -48.59801        239834.81        361.75146        70.446465        360020.46        97.499033 
          0.02254             0.05          0.22885       -43.025336        239874.82        377.89226        75.948419        360009.59        101.79632 
          0.02352             0.05           0.2388        -24.88583        239873.06        403.40723        94.013934        359954.74        115.49024 
           0.0245             0.05          0.24875        20.263121        239843.41        428.94289        139.08558        359869.78        129.22826 
          0.02548             0.05           0.2587        32.909143        239970.13        396.48375        151.65094           359939        84.995861 
          0.02646             0.05          0.26865       -43.255849        239995.11        366.69228        75.401875        359904.26        43.456452 
          0.02744             0.05           0.2786       -44.386716        240184.46        394.40368        74.183495         360031.7        59.446189 
          0.02842             0.05          0.28855       -30.728715        240255.37        454.01231        87.750497        360038.51        107.36036 
           0.0294             0.05           0.2985       -20.148521        240437.12        455.81344        98.236162        360153.96        97.495191 
          0.03038             0.05          0.30845       -80.442017        240634.69        404.56796        37.844568        360283.06        34.612493 
          0.03136             0.05           0.3184       -54.374454        240729.65        562.29691        63.810423        360307.37        180.73423 
          0.03234             0.05          0.32835       -114.62553        240964.02         484.9499        3.4539854        360468.93         91.81094 
          0.03332             0.05           0.3383       -29.837892        240966.14        387.44885        88.132583        360396.07       -17.234548 
           0.0343             0.05          0.34825       -1.6888347        240924.24        227.78753        116.16887        360277.02       -188.40755 
          0.03528             0.05           0.3582       -29.250531        240963.02        207.79747        88.490635        360236.52       -219.87564 
          0.03626             0.05          0.36815       -36.905964         241115.4        436.34005        80.714864        360307.47       -2.7765291 
          0.03724             0.05           0.3781        -206.7647        241247.44        279.53992       -89.268049        360355.94        -170.9847 
          0.03822             0.05          0.38805       -178.14531        241162.81        39.422326       -60.776709        360185.61       -422.47398 
           0.0392             0.05            0.398        -160.9425        240984.49       -183.66447       -43.705853        359919.46       -656.89527 
          0.04018             0.05          0.40795       -266.09345        240947.25       -142.55094        -148.9927        359792.29       -627.07814 
          0.04116             0.05           0.4179       -3913.8431        240680.08        20.557816       -3796.8822        359433.08       -475.22685 
          0.04214             0.05          0.42785       -2364.1867        260017.79        10006.475       -2247.3698        378676.64        9499.4731 
          0.04312             0.05           0.4378       -396.76714        241532.65       -2121.2453       -280.09807        360095.27       -2639.4247 
           0.0441             0.05          0.44775        116.95966        242322.21       -1903.0344        233.47673        360786.51       -2432.3493 
          0.04508             0.05           0.4577        697.50373        242951.28       -2154.4826         813.8647        361315.19       -2694.8906 
          0.04606             0.05          0.46765        320.65154        243678.34       -3773.6782        436.85228        361939.79       -4325.1363 
          0.04704             0.05           0.4776         169.3784        244381.42       -5487.8003        285.41476        362538.35       -6050.2644 
          0.04802             0.05          0.48755       -717.27451        245369.76       -6758.9058       -601.40673        363420.12       -7332.3312 
            0.049             0.05           0.4975       -1609.0719        246934.72       -8321.0092       -1493.3769        364876.48       -8905.3503 
          0.04998             0.05          0.50745        38268.802        250427.54           440474         38384.32        368258.66        439878.79 
          0.05096             0.05           0.5174        40946.942           252471        430917.05        41062.279        370189.45        430311.02 
          0.05194             0.05          0.52735        40142.193         255975.2        421172.03        40257.344        373578.97        420555.22 
          0.05292             0.05           0.5373        39784.488         259728.4        412421.61        39899.449         377215.5        411794.08 
           0.0539             0.05          0.54725        38740.835        263502.61        404068.95        38855.602        380871.03        403430.74 
          0.05488             0.05           0.5572        37992.767        267683.67        395872.41        38107.335        384931.43        395223.58 
          0.05586             0.05          0.56715        37248.549        271499.48        388240.41        37362.914        388624.61           387581 
          0.05684             0.05           0.5771        36517.821        275368.17        381201.63        36631.979        392368.71         380531.7 
          0.05782             0.05          0.58705         35707.71        279175.83        374236.83        35821.657        396049.82        373556.43 
           0.0588             0.05            0.597        34931.223        282988.18        367580.57        35044.953        399733.68        366889.75 
          0.05978             0.05          0.60695        34257.411        286603.46        361173.72         34370.92        403218.53        360472.53 
          0.06076             0.05           0.6169         33604.03        290248.98        354995.24        33717.314        406731.71        354283.75 
          0.06174             0.05          0.62685        32979.526        293755.07        349109.94         33092.58        410103.53        348388.19 
          0.06272             0.05           0.6368        32351.849        297166.44        343310.74         32464.67        413378.74         342578.8 
           0.0637             0.05          0.64675        31738.118         300473.5        337702.49          31850.7        416547.75        336960.41 
          0.06468             0.05           0.6567        31132.423        303831.41        332257.88        31244.762        419765.73        331505.72 
          0.06566             0.05          0.66665        30573.771        306980.47        327004.01        30685.862           422773        326241.81 
          0.06664             0.05           0.6766        30013.088         310155.7        321824.61        30124.927        425804.58        321052.45 
          0.06762             0.05          0.68655        29467.045        313300.76        316829.75        29578.627        428804.14        316047.68 
           0.0686             0.05           0.6965        28935.922        316312.25        311947.91        29047.242         431668.3           311156 
          0.06958             0.05          0.70645        28423.245        319346.19        307184.19        28534.299        434553.09        306382.49 
          0.07056             0.05           0.7164        27919.437        322332.74        302540.26         28030.22        437388.68        301728.83 
          0.07154             0.05          0.72635        27426.143        325239.86        298017.56        27536.651        440143.06        297196.47 
          0.07252             0.05           0.7363        26948.504        328048.98        293626.96        27058.733        442797.63        292796.26 
           0.0735             0.05          0.74625        26483.987           330820        289307.84        26593.931        445412.35        288467.61 
          0.07448             0.05           0.7562        26033.718         333544.7        285095.03        26143.373        447978.97        284245.32 
          0.07546             0.05          0.76615        25588.805         336244.4        280945.92        25698.167        450518.86         280086.8 
          0.07644             0.05           0.7761        25157.874        338836.74        276913.33        25266.937        452949.64        276044.86 
          0.07742             0.05          0.78605        24734.716        341378.34        272963.15        24843.477        455327.97        272085.39 
           0.0784             0.05            0.796        24327.975        343844.13        269085.92        24436.429        457628.77        268198.94 
          0.07938             0.05          0.80595        23925.069        346279.19         265289.4        24033.211        459897.15        264393.28 
          0.08036             0.05           0.8159        23530.507        348659.32        261573.82        23638.332        462108.91         260668.6 
          0.08134             0.05          0.82585        23143.827        350985.29        257937.32        23251.331        464264.85        257023.09 
          0.08232             0.05           0.8358        22765.092        353264.19        254366.53         22872.27        466372.06        253443.35 
           0.0833             0.05          0.84575        22397.764        355489.02        250865.01        22504.611        468423.55        249932.95 
          0.08428             0.05           0.8557        22035.422        357662.11        247438.07        22141.934        470421.67        246497.19 
          0.08526             0.05          0.86565        21684.484        359784.25        244078.62        21790.657        472367.23        243128.99 
          0.08624             0.05           0.8756        21337.479        361857.96        240778.19        21443.308        474262.74        239819.88 
          0.08722             0.05          0.88555        20994.226        363880.49        237534.65        21099.706        476105.49        236567.74 
           0.0882             0.05           0.8955        20660.117        365862.62        234353.61        20765.244        477906.27        233378.16 
          0.08918             0.05          0.90545        20331.904        367796.81        231226.56        20436.673        479657.54        230242.65 
          0.09016             0.05           0.9154        20006.383        369678.79        228166.44         20110.79        481355.04        227174.13 
          0.09114             0.05          0.92535        19692.257        371512.83        225156.21        19796.298        483003.08        224155.57 
          0.09212             0.05           0.9353        19382.859        373306.94        222195.94        19486.528        484609.67        221187.05 
           0.0931             0.05          0.94525        19078.639        375052.55        219284.64        19181.933        486166.25        218267.57 
          0.09408             0.05           0.9552        18779.219        376757.92        216427.48        18882.132        487681.09         215402.3 
          0.09506             0.05          0.96515        18487.208        378418.87        213614.63        18589.737        489150.04        212581.43 
          0.09604             0.05           0.9751        18198.192        380037.19        210854.93        18300.331        490574.89        209813.76 
          0.09702             0.05          0.98505        17915.816        381610.67        208136.22        18017.562        491953.44        207087.16 
            0.098             0.05            0.995        17638.088        383141.91        205463.41        17739.436        493288.33        204406.53 


