%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
      0.091448588              4.9        0.4597431       -1593044.8        -32539209       -2316927.9 
      0.091448588              4.7        0.4597431       -2586851.4        -53748841       -1529945.5 
      0.091448588              4.5        0.4597431       -4917927.5        -69855392       -656364.28 
      0.091448588              4.3        0.4597431        -10950453        -89954425        1033538.2 
      0.091448588              4.1        0.4597431        -57995892   -1.6018604e+08         11240949 
      0.091448588              3.9        0.4597431    1.4533161e+08        -41858658        -28071826 
      0.091448588              3.7        0.4597431    1.3738108e+08    2.9523479e+08        -29645925 
      0.091448588              3.5        0.4597431     1.794597e+08    6.7141719e+08        -35937777 
      0.091448588              3.3        0.4597431    2.7815418e+08    1.2438788e+09        -44927421 
      0.091448588              3.1        0.4597431    5.6719525e+08     2.367989e+09        -73951058 
      0.091448588              2.9        0.4597431    -3.799394e+08    3.2712665e+09     2.561835e+08 
      0.091448588              2.7        0.4597431        -85162573    3.4074802e+09        9459952.2 
      0.091448588              2.5        0.4597431         16524834    3.3173486e+09        7169979.6 
      0.091448588              2.3        0.4597431   -4.9781216e+08    2.7974487e+09    1.0385662e+08 
      0.091448588              2.1        0.4597431        -90812198    2.1511945e+09         22497807 
      0.091448588              1.9        0.4597431        -23438611    2.0385055e+09        8686778.2 
      0.091448588              1.7        0.4597431       -6744574.5     2.022504e+09          5389894 
      0.091448588              1.5        0.4597431       -1701068.3    2.0316566e+09        3763545.8 
      0.091448588              1.3        0.4597431       -294004.04    2.0418515e+09        1648249.9 
      0.091448588              1.1        0.4597431        107105.59    2.0465062e+09        563978.82 
      0.091448588              0.9        0.4597431        188390.19    2.0483186e+09        164457.45 
      0.091448588              0.7        0.4597431        161497.82    2.0489938e+09        14534.158 
      0.091448588              0.5        0.4597431         109507.6    2.0491678e+09       -34948.266 
      0.091448588              0.3        0.4597431        61634.361    2.0491287e+09       -40574.213 
      0.091448588              0.1        0.4597431        25752.598    2.0490209e+09       -27835.696 
      0.091448588             -0.1        0.4597431        2244.1228    2.0489049e+09       -11186.091 
      0.091448588             -0.3        0.4597431       -10396.708    2.0487727e+09       -2216.0379 
      0.091448588             -0.5        0.4597431       -13353.763    2.0485406e+09       -14918.098 
      0.091448588             -0.7        0.4597431       -6699.6984    2.0480112e+09       -72816.597 
      0.091448588             -0.9        0.4597431        10047.592    2.0467683e+09       -225874.71 
      0.091448588             -1.1        0.4597431        32320.293    2.0438629e+09       -603492.51 
      0.091448588             -1.3        0.4597431        23927.688    2.0368233e+09       -1584967.6 
      0.091448588             -1.5        0.4597431       -41704.436    2.0209815e+09       -3370808.1 
      0.091448588             -1.7        0.4597431        296642.32    1.9973595e+09       -4042645.4 
      0.091448588             -1.9        0.4597431        917276.15    1.9723512e+09       -4142278.7 
      0.091448588             -2.1        0.4597431        1071492.9    1.9451159e+09       -4622492.4 
      0.091448588             -2.3        0.4597431       -888432.47    1.9090963e+09       -4401746.7 
      0.091448588             -2.5        0.4597431        -11483328    1.7843846e+09        -36188885 
      0.091448588             -2.7        0.4597431        -59966370    1.4069429e+09        -40324170 
