%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0             0.05                0       -545.57151        4482461.2      -0.15151234       -425.70393        4603198.3      -0.15151234 
          0.00995             0.05         -0.00098       -611.30446        4482446.5        6.5726488        -491.5383        4603181.7        7.7634487 
           0.0199             0.05         -0.00196       -679.88765        4482420.9         14.46805       -560.23001        4603154.1        16.850112 
          0.02985             0.05         -0.00294        -748.6486        4482385.8        21.783478       -629.10796        4603117.1        25.357313 
           0.0398             0.05         -0.00392       -817.50365        4482341.6        29.105533       -698.08982          4603071          33.8717 
          0.04975             0.05          -0.0049       -886.47368        4482288.2        36.436393       -767.19783        4603015.9        42.395501 
           0.0597             0.05         -0.00588       -955.57938        4482225.6        43.778155       -836.45404        4602951.4        50.930862 
          0.06965             0.05         -0.00686       -1025.8255          4482153        50.818824       -906.86451        4602877.1        59.165835 
           0.0796             0.05         -0.00784       -1093.5861        4482070.3        57.460148       -974.80469        4602792.6        67.002217 
          0.08955             0.05         -0.00882       -1162.5447        4481979.5        65.411974       -1043.9595        4602700.2        76.149903 
           0.0995             0.05          -0.0098       -1231.0934        4481879.8        72.263148       -1112.7222        4602598.8        84.197787 
          0.10945             0.05         -0.01078       -1300.6125        4481770.7        79.450841       -1182.4746          4602488        92.583088 
           0.1194             0.05         -0.01176       -1371.2021        4481652.9          87.0791       -1253.3181        4602368.6         101.4099 
          0.12935             0.05         -0.01274       -1442.1602          4481525        95.075166       -1324.5521          4602239        110.60551 
           0.1393             0.05         -0.01372       -1511.8355        4481388.1        103.27146       -1394.5263        4602100.5        120.00238 
          0.14925             0.05          -0.0147       -1584.0845        4481248.5        110.50955        -1467.099        4601959.3        128.44214 
           0.1592             0.05         -0.01568       -1653.3766        4481095.8        118.78118       -1536.7407        4601805.1        137.91655 
          0.16915             0.05         -0.01666       -1723.1512          4480932        126.04813        -1606.892        4601639.7        146.38748 
           0.1791             0.05         -0.01764       -1798.0371        4480748.4        131.62426       -1682.1832        4601454.5        153.16878 
          0.18905             0.05         -0.01862       -1870.4521        4480554.6        140.13703       -1755.0334        4601259.2          162.888 
            0.199             0.05          -0.0196        -1944.699        4480356.9        155.74096       -1829.7465        4601059.8        179.69968 
          0.20895             0.05         -0.02058       -2017.0166        4480149.2        164.54164       -1902.5629        4600850.5        189.70946 
           0.2189             0.05         -0.02156       -2085.5489        4479933.9        163.68718       -1971.6276        4600633.6        190.06549 
          0.22885             0.05         -0.02254       -2157.0629        4479707.5        170.57502       -2043.7092        4600405.5        198.16524 
           0.2388             0.05         -0.02352       -2226.9168        4479465.5        175.81736       -2114.1668        4600161.8        204.62096 
          0.24875             0.05          -0.0245       -2296.0151        4479209.5        177.58031       -2183.9065        4599904.1        207.59881 
           0.2587             0.05         -0.02548       -2371.2888        4478962.7         183.3268       -2259.8605        4599655.5        214.56174 
          0.26865             0.05         -0.02646       -2444.4818        4478692.4        200.19155       -2333.7739        4599383.4        232.64452 
           0.2786             0.05         -0.02744       -2507.8993        4478432.2        207.32606       -2397.9531        4599121.3        240.99868 
          0.28855             0.05         -0.02842       -2563.7094        4478146.3        212.25791       -2454.5675        4598833.4        247.15184 
           0.2985             0.05          -0.0294       -2621.8702        4477863.4        217.14162       -2513.5764        4598548.5        253.25856 
