%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
            7.775       0.20777487          0.65625        210862.37    -2.524315e+08        266700.56 
            7.575       0.20243018          0.65625         77745.36   -2.5233422e+08         189983.6 
            7.375       0.19708549          0.65625       -65154.236   -2.5230815e+08        188181.91 
            7.175       0.19174079          0.65625       -217523.32   -2.5233528e+08        217979.94 
            6.975        0.1863961          0.65625        -358926.1   -2.5239052e+08        354287.11 
            7.775       0.41554974          0.65625        95174.282   -2.5254464e+08         135340.4 
            7.575       0.40486035          0.65625        29626.893   -2.5245388e+08        105584.91 
            7.375       0.39417097          0.65625       -55380.439   -2.5243561e+08        113134.24 
            7.175       0.38348159          0.65625        -159344.7    -2.524684e+08        140705.13 
            6.975       0.37279221          0.65625       -266000.58   -2.5251549e+08        245567.45 
            7.775        0.6233246          0.65625       -15747.973   -2.5256025e+08          2923.38 
            7.575       0.60729053          0.65625       -7136.7603   -2.5250287e+08        21186.482 
            7.375       0.59125646          0.65625       -33995.998   -2.5250537e+08        37652.671 
            7.175       0.57522238          0.65625       -91966.086   -2.5255634e+08        62964.343 
            6.975       0.55918831          0.65625       -169197.74   -2.5261597e+08        136351.11 
            7.775       0.83109947          0.65625       -120156.48   -2.5246236e+08        -132007.4 
            7.575       0.80972071          0.65625       -22630.748   -2.5247311e+08       -65297.393 
            7.375       0.78834194          0.65625        13995.014   -2.5251618e+08       -39349.019 
            7.175       0.76696318          0.65625       -4197.1698   -2.5260504e+08       -16014.176 
            6.975       0.74558441          0.65625       -64009.832   -2.5270028e+08        25014.814 
            7.775        1.0388743          0.65625       -208807.78   -2.5221886e+08       -271666.17 
            7.575        1.0121509          0.65625        6058.8303   -2.5234728e+08       -154717.64 
            7.375       0.98542743          0.65625        111280.04   -2.5246702e+08       -118785.56 
            7.175       0.95870397          0.65625        121672.24    -2.526251e+08       -97855.953 
            6.975       0.93198052          0.65625        58486.845   -2.5278424e+08       -90031.309 
            7.775        1.2466492          0.65625       -269739.57   -2.5176962e+08       -417981.58 
            7.575        1.2145811          0.65625        115042.31    -2.520916e+08       -248501.15 
            7.375        1.1825129          0.65625        302243.06   -2.5235635e+08        -202608.8 
            7.175        1.1504448          0.65625        318628.05   -2.5263584e+08       -184293.68 
            6.975        1.1183766          0.65625        211221.15   -2.5289834e+08       -211392.18 
            7.775        1.4544241          0.65625       -273545.99   -2.5099996e+08       -573936.15 
            7.575        1.4170112          0.65625        374417.18   -2.5164561e+08       -348463.89 
            7.375        1.3795984          0.65625        662037.69   -2.5217676e+08       -291176.19 
            7.175        1.3421856          0.65625         644681.9   -2.5267249e+08        -275442.1 
            6.975        1.3047727          0.65625         417657.3   -2.5309816e+08       -341090.61 
            7.775        1.6621989          0.65625       -173606.06   -2.4970027e+08       -746443.18 
            7.575        1.6194414          0.65625        914647.51   -2.5089415e+08        -459966.9 
            7.375        1.5766839          0.65625        1337688.5   -2.5191772e+08       -388848.29 
            7.175        1.5339264          0.65625        1199705.3   -2.5280249e+08       -374453.37 
            6.975        1.4911688          0.65625        713753.33   -2.5348155e+08       -482067.11 
            7.775        1.8699738          0.65625        131513.22   -2.4747166e+08       -942913.08 
            7.575        1.8218716          0.65625        1983363.4   -2.4961821e+08       -584128.07 
            7.375        1.7737694          0.65625        2596785.9   -2.5155773e+08       -498136.03 
            7.175        1.7256671          0.65625        2183584.6   -2.5314834e+08       -485502.05 
            6.975        1.6775649          0.65625        1176162.3   -2.5422773e+08       -638874.41 
            7.775        2.0777487          0.65625        802165.25   -2.4358055e+08       -1179469.1 
            7.575        2.0243018          0.65625        4018022.8   -2.4739906e+08       -732081.41 
            7.375        1.9708549          0.65625        4944414.6   -2.5103044e+08       -622787.45 
            7.175        1.9174079          0.65625          3962642   -2.5393146e+08       -608621.05 
            6.975         1.863961          0.65625        1937283.8   -2.5567272e+08        -815509.2 
            7.775        2.2855235          0.65625        2094320.3   -2.3673612e+08       -1485118.4 
            7.575        2.2267319          0.65625        7759095.8   -2.4341553e+08       -917406.71 
            7.375        2.1679403          0.65625        9296352.9   -2.5014338e+08       -772057.44 
            7.175        2.1091487          0.65625        7250760.1   -2.5553786e+08       -749275.45 
            6.975        2.0503571          0.65625        3264635.5   -2.5844719e+08       -1016534.3 
            7.775        2.4932984          0.65625          4287496   -2.2487384e+08       -1930990.9 
            7.575        2.4291621          0.65625         14278796   -2.3607282e+08       -1171688.1 
            7.375        2.3650258          0.65625         17288703   -2.4824857e+08       -960524.49 
            7.175        2.3008895          0.65625         13506018   -2.5857444e+08        -911984.5 
            6.975        2.2367532          0.65625        5732434.5   -2.6380038e+08       -1246509.3 
            7.775        2.7010733          0.65625        7570698.6   -2.0507969e+08       -2676514.3 
            7.575        2.6315923          0.65625         24705222   -2.2259793e+08       -1605384.7 
            7.375        2.5621113          0.65625         31567465   -2.4311451e+08       -1236657.8 
            7.175        2.4926303          0.65625         25858679   -2.6371659e+08       -1102484.5 
            6.975        2.4231493          0.65625         10712940   -2.7437243e+08       -1500834.9 
            7.775        2.9088481          0.65625         11887568   -1.7637036e+08       -2582320.9 
