%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0               -6                0         15393.29       -1979562.7       -1.0662573        16433.652       -2060299.7       -1.0662573 
                0            -5.94                0        15894.987       -2041616.3       -1.1524963        16943.301       -2124341.3       -1.1524963 
                0            -5.88                0        16417.616       -2106438.1       -1.2485325        17473.612       -2191159.8       -1.2485325 
                0            -5.82                0        16962.682       -2174164.9        -1.355814        18026.076       -2260884.5        -1.355814 
                0            -5.76                0        17531.909       -2244922.2        -1.476053        18602.403       -2333633.2        -1.476053 
                0             -5.7                0        18127.299       -2318812.4       -1.6112826        19204.583       -2409498.5       -1.6112826 
                0            -5.64                0        18751.211       -2395892.6       -1.7639255        19834.963         -2488527       -1.7639255 
                0            -5.58                0        19406.473       -2476143.2       -1.9368769        20496.358       -2570686.9       -1.9368769 
                0            -5.52                0        20096.522       -2559419.8       -2.1336007        21192.192       -2655820.5       -2.1336007 
                0            -5.46                0         20825.58       -2645388.4       -2.3582358        21926.677       -2743578.4       -2.3582358 
                0             -5.4                0        21598.837       -2733445.2       -2.6157012        22704.989       -2833340.1       -2.6157012 
                0            -5.34                0        22422.578       -2822641.3       -2.9117779          23533.4         -2924138       -2.9117779 
                0            -5.28                0        23304.117       -2911660.3       -3.2531389        24419.215       -3014635.4       -3.2531389 
                0            -5.22                0        24251.354       -2998937.7       -3.6473025        25370.323       -3103245.5       -3.6473025 
                0            -5.16                0        25271.806       -3083023.9       -4.1025432        26394.228       -3188494.6       -4.1025432 
                0             -5.1                0        26371.336         -3163205        -4.627918        27496.783         -3269643        -4.627918 
                0            -5.04                0        27553.479       -3240134.2        -5.233687        28681.515       -3347316.5        -5.233687 
                0            -4.98                0        28820.584       -3315961.9       -5.9323235         29950.76       -3423636.5       -5.9323235 
                0            -4.92                0        30177.026         -3393581       -6.7398843        31308.887       -3501465.7       -6.7398843 
