%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
      0.091448588              4.9        0.4597431       -1591031.7        -32547912       -2318304.6 
      0.091448588              4.7        0.4597431       -2582682.4        -53756778       -1531576.9 
      0.091448588              4.5        0.4597431       -4908217.1        -69850979       -658990.47 
      0.091448588              4.3        0.4597431        -10927371        -89914774        1028387.7 
      0.091448588              4.1        0.4597431        -57899841   -1.6001544e+08         11221511 
      0.091448588              3.9        0.4597431    1.4517574e+08        -41768997        -28043933 
      0.091448588              3.7        0.4597431    1.3718706e+08     2.949112e+08        -29608690 
      0.091448588              3.5        0.4597431    1.7904429e+08    6.7038026e+08        -35860239 
      0.091448588              3.3        0.4597431    2.7716097e+08    1.2411414e+09        -44761545 
      0.091448588              3.1        0.4597431    5.6413347e+08    2.3602034e+09        -73473484 
      0.091448588              2.9        0.4597431   -3.7733755e+08     3.260758e+09    2.5507504e+08 
      0.091448588              2.7        0.4597431        -84325459    3.3986719e+09        9303233.7 
      0.091448588              2.5        0.4597431         16351788    3.3092601e+09        7177794.9 
      0.091448588              2.3        0.4597431   -4.9481995e+08    2.7924385e+09    1.0325182e+08 
      0.091448588              2.1        0.4597431        -90373921    2.1499447e+09         22403586 
      0.091448588              1.9        0.4597431        -23360705    2.0377894e+09        8666160.7 
      0.091448588              1.7        0.4597431       -6727278.3     2.021865e+09        5382412.7 
      0.091448588              1.5        0.4597431         -1696207    2.0310204e+09        3759451.2 
      0.091448588              1.3        0.4597431       -292448.25    2.0412059e+09        1645548.4 
      0.091448588              1.1        0.4597431        107550.29    2.0458499e+09        561922.19 
      0.091448588              0.9        0.4597431        188421.74    2.0476521e+09        162763.85 
      0.091448588              0.7        0.4597431        161375.27    2.0483179e+09        13089.159 
      0.091448588              0.5        0.4597431        109333.14    2.0484835e+09       -36199.859 
      0.091448588              0.3        0.4597431        61448.721    2.0484369e+09       -41663.261 
      0.091448588              0.1        0.4597431        25571.097    2.0483226e+09       -28782.247 
      0.091448588             -0.1        0.4597431        2070.9905    2.0482008e+09       -12005.563 
      0.091448588             -0.3        0.4597431        -10562.87    2.0480637e+09       -2922.8869 
      0.091448588             -0.5        0.4597431       -13518.473    2.0478272e+09       -15529.315 
      0.091448588             -0.7        0.4597431       -6873.5787     2.047294e+09       -73357.413 
      0.091448588             -0.9        0.4597431        9844.4556    2.0460475e+09       -226391.94 
      0.091448588             -1.1        0.4597431        32045.205    2.0431382e+09       -604093.78 
      0.091448588             -1.3        0.4597431        23476.067    2.0360931e+09       -1585945.7 
      0.091448588             -1.5        0.4597431       -42479.405    2.0202418e+09       -3372548.8 
      0.091448588             -1.7        0.4597431        295476.02    1.9966066e+09       -4044507.2 
      0.091448588             -1.9        0.4597431        915474.42    1.9715844e+09       -4143887.1 
      0.091448588             -2.1        0.4597431          1068782     1.944334e+09       -4624022.9 
      0.091448588             -2.3        0.4597431       -893972.65    1.9082954e+09       -4402699.8 
      0.091448588             -2.5        0.4597431        -11482207    1.7835462e+09        -36203678 
      0.091448588             -2.7        0.4597431        -59914992    1.4060762e+09        -40353183 
      0.091448588             -2.9        0.4597431        -10140909    1.1729582e+09       -2052440.2 
      0.091448588             -3.1        0.4597431        -55721117    1.0315261e+09        984758.43 
      0.091448588             -3.3        0.4597431        -75317466    7.9122553e+08          5130895 
      0.091448588             -3.5        0.4597431        -72633740    5.3343779e+08        6986167.8 
      0.091448588             -3.7        0.4597431        -76065954    2.8438804e+08        9566343.9 
      0.091448588             -3.9        0.4597431    -1.081201e+08          3765525         15589410 
      0.091448588             -4.1        0.4597431         46120429   -1.1404453e+08       -8880119.9 
      0.091448588             -4.3        0.4597431        7737688.5        -69585858       -420844.57 
      0.091448588             -4.5        0.4597431        3988136.2        -59947442        801308.69 
      0.091448588             -4.7        0.4597431        2732229.6        -49062929        1450142.1 
      0.091448588             -4.9        0.4597431        2131799.3        -30822071        2143797.7 
       0.26042355              4.9       0.38975138       -1444701.2        -31713680       -1915043.5 
       0.26042355              4.7       0.38975138       -3119043.6        -51349973       -56395.995 
       0.26042355              4.5       0.38975138         -7243633        -63927968        3258028.3 
       0.26042355              4.3       0.38975138        -17270049        -74276310         10624412 
       0.26042355              4.1       0.38975138        -27751688        5623875.1         18751664 
       0.26042355              3.9       0.38975138    2.1274198e+08    1.3175109e+08   -1.0453979e+08 
       0.26042355              3.7       0.38975138    2.5287379e+08    2.8025123e+08   -1.3137891e+08 
       0.26042355              3.5       0.38975138    3.0469724e+08    4.7267625e+08   -1.6489852e+08 
       0.26042355              3.3       0.38975138    4.0403539e+08    5.4378108e+08   -2.3398233e+08 
       0.26042355              3.1       0.38975138    6.1865014e+08         94888518   -3.9955041e+08 
       0.26042355              2.9       0.38975138   -2.1358936e+08        -82570252         52058749 
       0.26042355              2.7       0.38975138        -68809656    4.2053463e+08    1.5090732e+08 
       0.26042355              2.5       0.38975138        -13957906    9.2084451e+08         74729504 
       0.26042355              2.3       0.38975138   -5.1694491e+08    1.4428954e+09    3.5084336e+08 
       0.26042355              2.1       0.38975138    -1.359242e+08    1.9347784e+09         96200563 
       0.26042355              1.9       0.38975138        -43669620    1.9867677e+09         33987297 
       0.26042355              1.7       0.38975138        -14557946    2.0062305e+09         14545756 
       0.26042355              1.5       0.38975138       -4301374.7    2.0254488e+09        6958210.5 
       0.26042355              1.3       0.38975138       -1231441.7    2.0391259e+09        2748598.2 
       0.26042355              1.1       0.38975138       -206683.33    2.0451098e+09        874877.49 
       0.26042355              0.9       0.38975138        129476.83    2.0474301e+09        188830.72 
       0.26042355              0.7       0.38975138        189207.04    2.0482882e+09         -44071.3 
       0.26042355              0.5       0.38975138        152113.54    2.0485181e+09       -99148.631 
