%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ
            7.775       0.20777487          0.65625        201932.28   -2.5051236e+08        255450.52 
            7.575       0.20243018          0.65625        74668.831   -2.5041324e+08        182143.98 
            7.375       0.19708549          0.65625       -62355.697   -2.5038491e+08        180524.31 
            7.175       0.19174079          0.65625       -208575.45    -2.504101e+08        209203.22 
            6.975        0.1863961          0.65625        -344427.3   -2.5046486e+08        340103.76 
            7.775       0.41554974          0.65625        83193.861   -2.5061782e+08        121702.23 
            7.575       0.40486035          0.65625        23833.622   -2.5052632e+08        96460.078 
            7.375       0.39417097          0.65625       -54910.136   -2.5050578e+08        104570.74 
            7.175       0.38348159          0.65625        -152275.2   -2.5053665e+08        131300.44 
            6.975       0.37279221          0.65625       -252736.26   -2.5058413e+08        231084.72 
            7.775        0.6233246          0.65625       -30898.991   -2.5062507e+08        -13135.19 
            7.575       0.60729053          0.65625       -15847.283   -2.5056834e+08        10761.765 
            7.375       0.59125646          0.65625       -36078.166   -2.5056848e+08        28185.572 
            7.175       0.57522238          0.65625       -86995.594   -2.5061747e+08         52951.88 
            6.975       0.55918831          0.65625       -157341.36   -2.5067825e+08        121631.92 
            7.775       0.83109947          0.65625       -138650.77   -2.5051829e+08       -150538.54 
            7.575       0.80972071          0.65625       -34572.533   -2.5053132e+08       -77039.604 
            7.375       0.78834194          0.65625        8988.8889   -2.5057178e+08       -49723.517 
            7.175       0.76696318          0.65625       -1651.9652   -2.5065845e+08       -26621.662 
            6.975       0.74558441          0.65625       -53775.584   -2.5075548e+08        10120.128 
            7.775        1.0388743          0.65625       -230938.15   -2.5026562e+08       -292744.05 
            7.575        1.0121509          0.65625       -9655.6541    -2.503981e+08       -167810.47 
            7.375       0.98542743          0.65625        102758.69   -2.5051467e+08       -130083.23 
            7.175       0.95870397          0.65625        121297.77   -2.5067013e+08       -109049.26 
            6.975       0.93198052          0.65625        66803.413    -2.508315e+08       -105042.47 
            7.775        1.2466492          0.65625       -295955.98   -2.4980743e+08       -441710.38 
            7.575        1.2145811          0.65625        94660.683    -2.501352e+08       -262994.49 
            7.375        1.1825129          0.65625         289204.3   -2.5039563e+08       -214851.95 
            7.175        1.1504448          0.65625        314539.14   -2.5067164e+08        -196068.8 
            6.975        1.1183766          0.65625        217208.15   -2.5093651e+08        -226459.5 
            7.775        1.4544241          0.65625       -304618.38   -2.4902997e+08       -600455.96 
            7.575        1.4170112          0.65625         347816.9   -2.4968268e+08       -364428.96 
            7.375        1.3795984          0.65625        642790.22   -2.5020731e+08        -304412.4 
            7.175        1.3421856          0.65625        635561.34   -2.5069789e+08       -287818.29 
            6.975        1.3047727          0.65625        420694.66   -2.5112559e+08       -356160.39 
            7.775        1.6621989          0.65625       -210802.29   -2.4772537e+08       -775919.73 
            7.575        1.6194414          0.65625        879081.75   -2.4892637e+08        -477479.4 
            7.375        1.5766839          0.65625        1309222.6   -2.4993922e+08       -403128.88 
            7.175        1.5339264          0.65625        1183340.8   -2.5081571e+08       -387457.02 
            6.975        1.4911688          0.65625        712899.74    -2.514957e+08       -497092.85 
            7.775        1.8699738          0.65625        85920.419   -2.4549803e+08       -975567.78 
            7.575        1.8218716          0.65625        1933854.2   -2.4764913e+08       -603322.99 
            7.375        1.7737694          0.65625          2553713      -2.4957e+08       -513546.21 
            7.175        1.7256671          0.65625        2156005.4   -2.5114647e+08       -499171.26 
            6.975        1.6775649          0.65625        1169808.7   -2.5222447e+08       -653814.93 
            7.775        2.0777487          0.65625        744311.64   -2.4162048e+08       -1215571.2 
            7.575        2.0243018          0.65625        3945683.2   -2.4543577e+08       -753109.48 
            7.375        1.9708549          0.65625        4876898.6   -2.4903379e+08       -639461.99 
            7.175        1.9174079          0.65625        3916666.8   -2.5190959e+08       -623056.65 
            6.975         1.863961          0.65625        1922666.1   -2.5364492e+08        -830347.8 
            7.775        2.2855235          0.65625        2017794.1    -2.348126e+08       -1525006.9 
            7.575        2.2267319          0.65625        7648462.8   -2.4147208e+08       -940482.89 
            7.375        2.1679403          0.65625        9186529.8   -2.4813962e+08       -790184.98 
            7.175        2.1091487          0.65625        7172981.5   -2.5348758e+08       -764629.31 
            6.975        2.0503571          0.65625        3236669.5   -2.5638216e+08       -1031299.4 
            7.775        2.4932984          0.65625        4182841.1   -2.2302672e+08       -1975072.4 
            7.575        2.4291621          0.65625         14104911   -2.3417678e+08       -1197108.7 
            7.375        2.3650258          0.65625         17104436   -2.4624477e+08       -980400.24 
            7.175        2.3008895          0.65625         13370370   -2.5648181e+08        -928526.7 
            6.975        2.2367532          0.65625        5681072.5   -2.6167443e+08         -1261316 
            7.775        2.7010733          0.65625        7426738.4   -2.0337065e+08       -2725400.4 
            7.575        2.6315923          0.65625         24434166   -2.2080023e+08       -1633541.7 
            7.375        2.5621113          0.65625         31253837   -2.4113649e+08       -1258744.8 
            7.175        2.4926303          0.65625         25611931   -2.6156131e+08       -1120721.9 
            6.975        2.4231493          0.65625         10616235   -2.7213858e+08       -1516018.1 
            7.775        2.9088481          0.65625         11693076   -1.7488503e+08         -2637649 
            7.575        2.8340225          0.65625         37177972   -1.9832966e+08       -2032350.7 
            7.375        2.7591968          0.65625         53623219   -2.2668615e+08       -1703433.4 
            7.175        2.6843711          0.65625         51132470   -2.6579787e+08       -1346897.5 
            6.975        2.6095454          0.65625         22839448   -2.9460079e+08       -1799769.6 
            7.775         3.116623          0.65625         19249230   -1.3537528e+08       -2036794.7 
            7.575        3.0364526          0.65625         53784719   -1.6680654e+08       -1329826.5 
            7.375        2.9562823          0.65625         78663713   -1.9996134e+08       -1179868.8 
            7.175        2.8761119          0.65625         99111488   -2.4563411e+08       -1099808.2 
            6.975        2.7959415          0.65625         57333240    -3.479198e+08         -1337979 
            7.775        -3.116623          0.46875        -18041269   -1.3134317e+08        3558185.2 
            7.575       -3.0364526          0.46875        -51523317    -1.615322e+08        2208027.1 
            7.375       -2.9562823          0.46875        -75772202   -1.9344608e+08          1736016 
            7.175       -2.8761119          0.46875        -96148071    -2.371706e+08        1513845.3 
            6.975       -2.7959415          0.46875        -56632777    -3.338647e+08        1336773.8 
            7.775       -2.9088481          0.46875        -11342471   -1.7188879e+08        3035644.3 
            7.575       -2.8340225          0.46875        -35830013   -1.9235827e+08        2325212.4 
            7.375       -2.7591968          0.46875        -51640741   -2.1990754e+08        1892416.9 
            7.175       -2.6843711          0.46875        -49766354   -2.5761445e+08        1764137.8 
            6.975       -2.6095454          0.46875        -23249179   -2.8348605e+08        2337962.3 
            7.775       -2.7010733          0.46875         -6939665   -2.0003506e+08        2796340.8 
            7.575       -2.6315923          0.46875        -23121529   -2.1468745e+08        2032192.3 
            7.375       -2.5621113          0.46875        -30300121   -2.3444891e+08        1695662.3 
            7.175       -2.4926303          0.46875        -25464802   -2.5441588e+08        1774429.8 
            6.975       -2.4231493          0.46875        -11270655   -2.6349566e+08        2327104.1 
            7.775       -2.4932984          0.46875       -3932155.1   -2.1899538e+08        2311988.8 
            7.575       -2.4291621          0.46875        -13450297   -2.2831654e+08        1714272.6 
            7.375       -2.3650258          0.46875        -16809796   -2.4019415e+08        1491774.1 
            7.175       -2.3008895          0.46875        -13618633   -2.5040147e+08          1620295 
            6.975       -2.2367532          0.46875       -6320397.4   -2.5461315e+08        2097141.3 
            7.775       -2.2855235          0.46875       -1822852.3    -2.306357e+08        1946298.9 
            7.575       -2.2267319          0.46875       -7290593.1   -2.3608145e+08          1468411 
            7.375       -2.1679403          0.46875       -9182743.9   -2.4276312e+08        1305089.2 
            7.175       -2.1091487          0.46875       -7579098.5   -2.4822143e+08          1432515 
            6.975       -2.0503571          0.46875       -3858885.3   -2.5046655e+08        1841072.3 
            7.775       -2.0777487          0.46875       -564058.76     -2.37582e+08          1670717 
            7.575       -2.0243018          0.46875       -3733434.5   -2.4059182e+08        1270170.2 
            7.375       -1.9708549          0.46875       -4998507.6   -2.4428887e+08        1138905.3 
            7.175       -1.9174079          0.46875       -4376102.8   -2.4731391e+08        1254846.4 
            6.975        -1.863961          0.46875       -2526257.6   -2.4861729e+08        1608383.6 
            7.775       -1.8699738          0.46875        105947.78   -2.4174613e+08        1448847.4 
            7.575       -1.8218716          0.46875       -1781992.6   -2.4335898e+08        1105451.5 
            7.375       -1.7737694          0.46875         -2718532   -2.4540686e+08         995171.5 
            7.175       -1.7256671          0.46875       -2624567.6   -2.4713253e+08          1097879 
            6.975       -1.6775649          0.46875         -1760144    -2.479292e+08        1406054.2 
            7.775       -1.6621989          0.46875        428711.22   -2.4432589e+08        1263661.4 
            7.575       -1.6194414          0.46875       -746291.19   -2.4517501e+08        966541.99 
            7.375       -1.5766839          0.46875       -1483621.5   -2.4631354e+08        869942.67 
            7.175       -1.5339264          0.46875       -1645365.2   -2.4732439e+08        959803.29 
            6.975       -1.4911688          0.46875       -1295798.4    -2.478321e+08        1231273.2 
            7.775       -1.4544241          0.46875        554933.34   -2.4601034e+08        1103445.3 
            7.575       -1.4170112          0.46875       -213898.83   -2.4644779e+08        844007.78 
            7.375       -1.3795984          0.46875        -810450.8   -2.4708399e+08        760650.88 
            7.175       -1.3421856          0.46875       -1086791.4    -2.476895e+08        840615.27 
            6.975       -1.3047727          0.46875       -1003105.1   -2.4802484e+08        1079570.6 
            7.775       -1.2466492          0.46875        581685.58   -2.4718102e+08        962274.61 
            7.575       -1.2145811          0.46875        48513.433   -2.4739303e+08        736798.13 
            7.375       -1.1825129          0.46875       -445935.84   -2.4774975e+08        664735.15 
            7.175       -1.1504448          0.46875       -756381.14   -2.4812237e+08        735181.12 
            6.975       -1.1183766          0.46875       -805080.92   -2.4834832e+08        945311.26 
            7.775       -1.0388743          0.46875         553934.7    -2.480408e+08        833578.15 
            7.575       -1.0121509          0.46875        165362.83   -2.4813146e+08        639276.86 
            7.375      -0.98542743          0.46875       -249140.48   -2.4832728e+08        577228.12 
            7.175      -0.95870397          0.46875       -556697.29   -2.4856061e+08        639395.77 
            6.975      -0.93198052          0.46875       -664811.11   -2.4871737e+08        824766.84 
            7.775      -0.83109947          0.46875        499518.22   -2.4870051e+08        714379.04 
            7.575      -0.80972071          0.46875           204084   -2.4872522e+08        549213.06 
            7.375      -0.78834194          0.46875       -145578.09   -2.4882815e+08        497280.53 
            7.175      -0.76696318          0.46875       -430596.21   -2.4897284e+08        552362.68 
            6.975      -0.74558441          0.46875       -559099.65   -2.4908599e+08        715181.66 
            7.775       -0.6233246          0.46875        430328.41   -2.4922169e+08        602652.83 
            7.575      -0.60729053          0.46875        198880.18   -2.4921019e+08        464841.37 
            7.375      -0.59125646          0.46875       -92769.127   -2.4925765e+08        422620.02 
            7.175      -0.57522238          0.46875       -346402.79   -2.4934623e+08        471790.74 
            6.975      -0.55918831          0.46875       -475729.89   -2.4942924e+08        613599.82 
            7.775      -0.41554974          0.46875        355916.51   -2.4963855e+08        496308.93 
            7.575      -0.40486035          0.46875         172241.8   -2.4960839e+08         385110.2 
            7.375      -0.39417097          0.46875       -69315.563   -2.4961907e+08        352048.81 
            7.175      -0.38348159          0.46875       -286202.45   -2.4967353e+08        395716.27 
            6.975      -0.37279221          0.46875       -404625.37   -2.4973495e+08        518224.33 
            7.775      -0.20777487          0.46875        277127.33   -2.4997002e+08        393756.77 
            7.575      -0.20243018          0.46875        133697.64   -2.4992957e+08        307769.13 
            7.375      -0.19708549          0.46875       -59102.081   -2.4991713e+08         284306.8 
            7.175      -0.19174079          0.46875       -239218.23   -2.4995046e+08        323102.52 
            6.975       -0.1863961          0.46875       -342081.06     -2.49998e+08         427395.5 
            7.775   -9.7838404e-16          0.46875        199314.74   -2.5022552e+08        293163.23 
            7.575   -9.7838404e-16          0.46875        91988.828   -2.5017846e+08        232344.51 
            7.375   -9.7491459e-16          0.46875       -56356.363    -2.501547e+08        218248.29 
            7.175   -8.9164787e-16          0.46875       -199466.57   -2.5017643e+08        252597.44 
