%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0              -11                0        1122.1017       -317476.93     -0.025066963        1410.9072       -328764.13     -0.025066963 
                0       -10.777778                0        1272.7206       -337331.28     -0.027355339        1582.6042       -349441.06     -0.027355339 
                0       -10.555556                0        1439.7356       -358927.26     -0.029935805        1772.0954          -371940     -0.029935805 
                0       -10.333333                0         1624.914       -382469.16     -0.032856936        1981.2021       -396474.78     -0.032856936 
                0       -10.111111                0        1830.2148       -408192.54     -0.036177376        2211.9307       -423291.82     -0.036177376 
                0       -9.8888889                0          2057.81       -436370.39     -0.039968381        2466.4916       -452676.47     -0.039968381 
                0       -9.6666667                0        2310.1076        -467320.9     -0.044317096         2747.319       -484960.95     -0.044317096 
                0       -9.4444444                0        2589.7778       -501417.22      -0.04933087        3057.0951       -520534.39      -0.04933087 
                0       -9.2222222                0         2899.782       -539099.97     -0.055142947        3398.7743        -559855.6     -0.055142947 
                0               -9                0        3243.4052       -580893.54     -0.061920083        3775.6133       -603469.64     -0.061920083 
                0       -8.7777778                0        3624.2925       -627427.41     -0.069872837        4191.2023       -652029.45     -0.069872837 
                0       -8.5555556                0        4046.4894       -679464.76     -0.079269648        4649.5013       -706324.83     -0.079269648 
                0       -8.3333333                0         4514.486       -737941.48     -0.090456336        5154.8799       -767321.63     -0.090456336 
                0       -8.1111111                0        5033.2644        -804020.2      -0.10388353        5712.1596       -836216.07      -0.10388353 
                0       -7.8888889                0        5608.3453       -879167.22      -0.12014583        6326.6563        -914511.7      -0.12014583 
                0       -7.6666667                0        6245.8278       -965264.44      -0.14003862        7004.2159       -1004131.1      -0.14003862 
                0       -7.4444444                0        6952.4044       -1064776.8      -0.16464228        7751.2256       -1107582.4      -0.16464228 
                0       -7.2222222                0        7735.3148       -1181009.8      -0.19544927        8574.5656       -1228215.4      -0.19544927 
                0               -7                0        8602.1562       -1318518.4      -0.23456086        9481.4176       -1370627.4      -0.23456086 
                0       -6.7777778                0        9560.3634       -1483774.6      -0.28499954        10478.746       -1541324.9      -0.28499954 
                0       -6.5555556                0        10615.928       -1686284.9      -0.35122073        11572.021       -1749832.1      -0.35122073 
                0       -6.3333333                0        11770.322       -1940473.3      -0.43998196        12762.143       -2010559.1      -0.43998196 
                0       -6.1111111                0        13013.036       -2268706.5      -0.56188769        14037.997       -2345804.4      -0.56188769 
                0       -5.8888889                0        14303.231       -2704960.2      -0.73429458        15358.106       -2789385.8      -0.73429458 
                0       -5.6666667                0        15525.292       -3291387.4      -0.98709984         16606.21       -3383159.9      -0.98709984 
                0       -5.4444444                0        16401.108       -4018294.4       -1.3737538        17503.551       -4116935.3       -1.3737538 
                0       -5.2222222                0        16504.578       -4519136.2       -1.9758676        17623.411       -4623397.5       -1.9758676 
                0               -5                0        16230.799       -3770945.9       -2.8063716        17360.313       -3878486.2       -2.8063716 
                0       -4.7777778                0        17761.512       -2157114.6       -3.7824776        18895.494       -2264187.6       -3.7824776 
                0       -4.5555556                0         22714.55       -1267354.8       -5.2281031        23846.377       -1368640.7       -5.2281031 
                0       -4.3333333                0        31963.825       -976478.39       -7.6527798        33086.581       -1065244.5       -7.6527798 
                0       -4.1111111                0        45391.976       -778879.91       -11.547883        46498.576       -847621.77       -11.547883 
                0       -3.8888889                0        58603.859       -443459.28       -16.765354        59687.206       -485015.76       -16.765354 
                0       -3.6666667                0        65154.358       -39789.703       -20.749888        66207.492       -48681.821       -20.749888 
                0       -3.4444444                0        64786.561        315160.68       -22.037391        65802.818        341581.24       -22.037391 
                0       -3.2222222                0        59596.233        659299.98       -20.728983        60569.401        720279.07       -20.728983 
                0               -3                0         50908.64        1092774.1       -17.855082        51833.098        1184352.6       -17.855082 
                0       -2.7777778                0        40549.916          1752142       -14.330287        41420.755        1868057.1       -14.330287 
                0       -2.5555556                0        29711.735        2570249.8       -10.512476        30524.858        2703235.6       -10.512476 
                0       -2.3333333                0        19722.876        3172083.3       -7.0290244        20475.069        3315145.7       -7.0290244 
                0       -2.1111111                0        12715.337        3508152.9       -4.5592036        13404.307        3655466.4       -4.5592036 
                0       -1.8888889                0        8347.8625        3791452.4       -2.9993356        8972.2472        3938751.3       -2.9993356 
                0       -1.6666667                0        5570.9816        4067676.2       -1.9993758        6130.3277        4212230.4       -1.9993758 
                0       -1.4444444                0        3729.3144        4301521.7       -1.3382109        4224.0293        4441879.8       -1.3382109 
                0       -1.2222222                0         2454.573        4448633.4      -0.89329262        2885.8545        4584296.7      -0.89329262 
                0               -1                0         1545.409        4508614.5      -0.59684644        1915.1565        4639739.3      -0.59684644 
                0      -0.77777778                0        880.86263        4516656.5      -0.40411182        1191.5766        4643821.5      -0.40411182 
                0      -0.55555556                0        379.29951        4504780.8      -0.28195765        633.97372        4628822.4      -0.28195765 
                0      -0.33333333                0       -14.791355          4490729      -0.20737244        187.22117        4612632.6      -0.20737244 
                0      -0.11111111                0       -338.97989          4482676      -0.16580657       -185.97336        4603505.8      -0.16580657 
                0       0.11111111                0       -619.65637        4483697.1      -0.14915963       -511.82271        4604550.7      -0.14915963 
                0       0.33333333                0       -877.27177        4493756.4      -0.15435559       -810.69164          4615731      -0.15435559 
                0       0.55555556                0       -1130.6225        4509691.4      -0.18272864       -1101.3707        4633849.5      -0.18272864 
                0       0.77777778                0       -1401.1123        4523182.9      -0.24016963       -1405.3258        4650507.4      -0.24016963 
                0                1                0       -1718.2789        4516227.2      -0.33781968       -1752.2138        4647550.9      -0.33781968 
                0        1.2222222                0       -2128.5735        4456379.4      -0.49273416       -2188.6488        4592276.7      -0.49273416 
                0        1.4444444                0         -2710.12        4308114.2      -0.72850335       -2792.9512        4448736.1      -0.72850335 
                0        1.6666667                0        -3595.363        4072629.6       -1.0805569       -3697.7852        4217471.6       -1.0805569 
                0        1.8888889                0       -5001.8585        3798406.1       -1.6087333       -5120.9409        3946010.3       -1.6087333 
                0        2.1111111                0       -7280.4035        3531693.6       -2.4091852       -7413.4562        3679323.2       -2.4091852 
                0        2.3333333                0       -10953.723        3229917.1       -3.6692955       -11098.297        3373299.5       -3.6692955 
                0        2.5555556                0       -16166.285        2617764.2       -5.4799184        -16320.17        2751066.8       -5.4799184 
                0        2.7777778                0       -21851.003          1731956       -7.3895234       -22012.216        1848177.9       -7.3895234 
                0                3                0       -27374.717        1034237.2       -9.1423636       -27541.495          1126106       -9.1423636 
                0        3.2222222                0       -32035.607        628906.71       -10.651266        -32206.39        690153.37       -10.651266 
                0        3.4444444                0        -34817.27        305151.75        -11.74529       -34990.689        331811.76        -11.74529 
                0        3.6666667                0       -35031.576       -44778.041       -12.177701       -35206.438        -53463.63       -12.177701 
                0        3.8888889                0       -31590.792        -450450.5       -11.265762       -31766.065        -491837.3       -11.265762 
                0        4.1111111                0       -24644.727        -789569.7       -8.8834591       -24819.524       -858181.85       -8.8834591 
