%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
       0.30052038           -2.125       0.30052038        -115.4819       -3109549.2       -22774.984       -1.7236105       -46411.182       -339.92513   -0.00014728479       -3.9658968     -0.029047051        3109632.6        46412.427        3.9660032 
       0.41051848           -2.125       0.10999809        -8365.739       -3112853.5       -10580.626       -124.86178         -46460.5       -157.91979     -0.010669604       -3.9701111     -0.013494454        3112882.7        46460.936        3.9701483 
       0.10999809           -1.875       0.41051848        703.64103       -3054874.8       -20614.151        10.502105       -45595.146        -307.6739    0.00089741873       -3.8961655     -0.026291141        3054944.4        45596.186        3.8962543 
       0.30052038           -1.875       0.30052038       -2636.4402       -3057495.8       -19700.524       -39.349854       -45634.266       -294.03768     -0.003362497       -3.8995083     -0.025125908        3057560.4         45635.23        3.8995907 
       0.41051848           -1.875       0.10999809       -9799.7237       -3060129.3       -8887.2733       -146.26453       -45673.571       -132.64587     -0.012498497       -3.9028669     -0.011334765        3060157.9        45673.998        3.9029034 
       0.10999809           -1.625       0.41051848       -176.95119       -3006218.3         -17988.2       -2.6410625        -44868.93        -268.4806   -0.00022568228       -3.8341093     -0.022942022        3006272.1        44869.733        3.8341779 
       0.30052038           -1.625       0.30052038       -3907.4911       -3008230.8       -16618.524       -58.320762       -44898.968       -248.03767    -0.0049835861       -3.8366761     -0.021195147        3008279.3        44899.691        3.8367378 
       0.41051848           -1.625       0.10999809       -9960.9041       -3010249.9       -7329.9209       -148.67021       -44929.103       -109.40181     -0.012704066       -3.8392512    -0.0093485287        3010275.3        44929.483        3.8392836 
       0.10999809           -1.375       0.41051848       -650.55826       -2962406.4        -15239.22       -9.7098248       -44215.021       -227.45104   -0.00082971735       -3.7782319     -0.019435991        2962445.7        44215.607         3.778282 
       0.30052038           -1.375       0.30052038       -4311.5836       -2963940.6       -13706.823       -64.351994        -44237.92       -204.57945    -0.0054989628       -3.7801886     -0.017481584        2963975.4        44238.439         3.780233 
       0.41051848           -1.375       0.10999809       -9306.6229       -2965479.7       -5938.2252       -138.90482       -44260.891       -88.630227       -0.0118696       -3.7821515    -0.0075735699        2965500.2        44261.197        3.7821777 
       0.10999809           -1.125       0.41051848       -832.74179       -2924697.4       -12456.423       -12.428982         -43652.2       -185.91677    -0.0010620729       -3.7301381     -0.015886833          2924724        43652.598        3.7301721 
       0.30052038           -1.125       0.30052038       -4122.5788       -2925884.7       -10977.006       -61.531026        -43669.92        -163.8359    -0.0052579074       -3.7316524     -0.013999994        2925908.2        43670.271        3.7316823 
       0.41051848           -1.125       0.10999809       -8122.5755       -2927075.8       -4689.0848       -121.23247       -43687.699        -69.98634     -0.010359475       -3.7331716    -0.0059804251        2927090.9        43687.923        3.7331907 
       0.10999809           -0.875       0.41051848       -814.39203       -2893874.6       -9672.4156       -12.155105       -43192.158       -144.36441    -0.0010386698       -3.6908269      -0.01233613        2893890.9        43192.401        3.6908477 
       0.30052038           -0.875       0.30052038       -3534.4718       -2894821.4       -8396.0221        -52.75331        -43206.29       -125.31376      -0.00450784       -3.6920345     -0.010708226        2894835.7        43206.504        3.6920528 
       0.41051848           -0.875       0.10999809       -6593.5349       -2895771.5       -3548.2325       -98.410969        -43220.47       -52.958694    -0.0084093473       -3.6932462    -0.0045253903        2895781.1        43220.614        3.6932585 
       0.10999809           -0.625       0.41051848       -662.59677       -2870427.4       -6897.7552        -9.889504         -42842.2       -102.95157   -0.00084507117       -3.6609226    -0.0087973476        2870435.8        42842.325        3.6609332 
       0.30052038           -0.625       0.30052038       -2684.0309       -2871215.1       -5924.4219       -40.060162       -42853.957       -88.424208    -0.0034231937       -3.6619272    -0.0075559653        2871222.5        42854.067        3.6619366 
       0.41051848           -0.625       0.10999809        -4842.557       -2872005.6       -2484.0053        -72.27697       -42865.756       -37.074706    -0.0061761625       -3.6629354    -0.0031680826        2872010.8        42865.833         3.662942 
       0.10999809           -0.375       0.41051848       -426.67426       -2854655.5       -4133.6602       -6.3682726       -42606.799        -61.69642    -0.0005441773       -3.6408072    -0.0052720406        2854658.6        42606.844        3.6408111 
       0.30052038           -0.375       0.30052038       -1669.5323       -2855346.7       -3526.2475       -24.918393       -42617.116        -52.63056    -0.0021293096       -3.6416888    -0.0044973508        2855349.4        42617.155        3.6416922 
       0.41051848           -0.375       0.10999809       -2954.8047       -2856040.7       -1469.9905       -44.101562       -42627.473       -21.940156    -0.0037685367       -3.6425738    -0.0018748153        2856042.6        42627.501        3.6425762 
       0.10999809           -0.125       0.41051848        -144.3379       -2846730.5       -1377.1393        -2.154297       -42488.515       -20.554319   -0.00018408753       -3.6306997    -0.0017563937        2846730.9         42488.52        3.6307001 
       0.30052038           -0.125       0.30052038       -565.19798       -2847376.1       -1170.0424       -8.4357908       -42498.151        -17.46332   -0.00072084946       -3.6315231    -0.0014922637        2847376.4        42498.156        3.6315235 
       0.41051848           -0.125       0.10999809       -992.90216       -2848024.7       -484.13688       -14.819435       -42507.831       -7.2259236    -0.0012663403       -3.6323502   -0.00061746471        2848024.9        42507.834        3.6323505 
       0.10999809            0.125       0.41051848        153.14577       -2846730.2        1376.6552        2.2857578       -42488.511        20.547092    0.00019532102       -3.6306994     0.0017557762        2846730.6        42488.516        3.6306998 
       0.30052038            0.125       0.30052038        567.81033       -2847375.6        1172.6175         8.474781       -42498.143        17.501754    0.00072418122       -3.6315224      0.001495548        2847375.9        42498.147        3.6315228 
