%             X (in)              Y (in)              Z (in)         RealPolX         RealPolY         RealPolZ
              7.5        2.7338095            0.625       -265964.23        1823652.8        34232.702 
             7.25        2.6426825            0.625       -325044.01          2074881        20660.948 
                7        2.5515555            0.625       -150190.15        2369392.1        19095.795 
             7.75        3.0817489            0.625       -50421.833          1117409        137040.78 
              7.5        2.9823376            0.625       -342081.98        1538066.3        41417.062 
             7.25        2.8829264            0.625       -629156.31        1882746.6        25848.186 
                7        2.7835151            0.625       -380915.91        2729704.7        9634.9754 
             7.75       -3.0817489            0.375        106001.97        1290568.3       -130993.79 
              7.5       -2.9823376            0.375        399865.88          1508614       -41778.721 
             7.25       -2.8829264            0.375        659023.92        1886493.7       -17553.657 
                7       -2.7835151            0.375        395907.72        2672222.8        2973.2492 
             7.75       -2.8249365            0.375        58876.544        1666178.6       -45043.981 
              7.5       -2.7338095            0.375        244730.01        1815086.4       -27888.895 
             7.25       -2.6426825            0.375        295818.94        2108378.8        -13026.06 
                7       -2.5515555            0.375        130382.66        2292221.8       -10003.401 
             7.75       -2.5681241            0.375        37890.629        1860995.8       -14898.664 
              7.5       -2.4852814            0.375        132475.48        1971210.2       -12456.508 
             7.25       -2.4024387            0.375         125387.7        2108805.9       -10583.146 
                7       -2.3195959            0.375        47335.065        2163352.6       -8894.4287 
             7.75       -2.3113117            0.375        9851.9957        1979750.9       -5203.7346 
              7.5       -2.2367532            0.375        56935.374        2029565.2       -7914.7092 
             7.25       -2.1621948            0.375        53725.482          2094095         -8818.97 
                7       -2.0876364            0.375        19398.856        2114821.1       -7899.0371 
             7.75       -2.0544993            0.375        -3633.936        2037888.7       -3603.4365 
              7.5       -1.9882251            0.375        20786.832        2058325.8       -6448.5131 
             7.25       -1.9219509            0.375        21462.455        2088985.9       -7551.1939 
                7       -1.8556768            0.375        7509.6239        2097126.3       -6893.0805 
             7.75       -1.7976869            0.375       -8673.6013        2067378.8       -3323.6173 
              7.5        -1.739697            0.375        5016.9675        2074742.6       -5539.5854 
             7.25       -1.6817071            0.375        7534.8414        2089373.4       -6378.2562 
                7       -1.6237172            0.375        2580.4574        2092472.4       -5861.0799 
             7.75       -1.5408745            0.375       -9803.7381        2083171.3       -3040.0063 
              7.5       -1.4911688            0.375       -1598.8253        2085385.2       -4759.2161 
             7.25       -1.4414632            0.375        1601.8434        2092524.8       -5457.0108 
                7       -1.3917576            0.375        675.14694        2093001.4       -5006.3528 
             7.75        -1.284062            0.375        -9107.185        2092271.9       -2728.8875 
              7.5       -1.2426407            0.375       -3736.1901        2092879.1       -4018.3443 
             7.25       -1.2012193            0.375       -896.09906        2096500.4       -4496.4013 
                7        -1.159798            0.375       -324.57565        2095702.3       -4164.8981 
             7.75       -1.0272496            0.375       -7762.0944        2097875.4       -2286.0506 
