%          X (in)           Y (in)           Z (in)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
       0.86377273                0           0.3835        4724851.3   -3.5400572e-06        9549.2349        472.48513   -3.5400572e-10       0.95492349         5.938017   -4.4490119e-12      0.012001123        4724860.9        472.48609        5.9380291 
        1.0553182                0           0.3835        4655325.5   -6.6693265e-07        11701.166        465.53255   -6.6693265e-11        1.1701166        5.8506396   -8.3817609e-13      0.014705589        4655340.2        465.53402        5.8506581 
        1.2468636                0           0.3835          4571608    5.8159529e-07          13889.1         457.1608    5.8159529e-11          1.38891        5.7454266    7.3092728e-13      0.017455303        4571629.1        457.16291        5.7454531 
        1.4384091                0           0.3835        4473465.2    4.3057925e-07        16111.306        447.34652    4.3057925e-11        1.6111306        5.6220843    5.4113595e-13      0.020248089        4473494.2        447.34942        5.6221207 
        1.6299545                0           0.3835        4360654.4   -1.8854748e-06        18372.945        436.06544   -1.8854748e-10        1.8372945        5.4803079   -2.3695944e-12      0.023090432        4360693.1        436.06931        5.4803566 
           1.8215                0           0.3835        4232904.7    1.7420997e-07        20677.792        423.29047    1.7420997e-11        2.0677792        5.3197569    2.1894059e-13      0.025987078        4232955.2        423.29552        5.3198204 
        2.0130455                0           0.3835        4089935.1   -5.5712809e-08        23024.972        408.99351   -5.5712809e-12        2.3024972         5.140078   -7.0017782e-14      0.028936926        4089999.9        408.99999        5.1401594 
        2.2045909                0           0.3835        3931513.1   -6.8385649e-07        25399.777        393.15131   -6.8385649e-11        2.5399777        4.9409792   -8.5944535e-13      0.031921493        3931595.2        393.15952        4.9410823 
        2.3961364                0           0.3835        3757639.1    1.8793597e-06        27742.961        375.76391    1.8793597e-10        2.7742961        4.7224608    2.3619092e-12      0.034866319        3757741.5        375.77415        4.7225895 
        2.5876818                0           0.3835        3569217.8   -5.1575271e-07         29831.63        356.92178   -5.1575271e-11         2.983163        4.4856599   -6.4817879e-13      0.037491281        3569342.5        356.93425        4.4858166 
        2.7792273                0           0.3835          3373923   -4.0522476e-07         29427.64         337.3923   -4.0522476e-11         2.942764        4.2402206   -5.0927137e-13      0.036983561        3374051.3        337.40513        4.2403819 
                0                0           0.3835          4865083    1.1610669e-06     5.730067e-07         486.5083    1.1610669e-10     5.730067e-11        6.1142549    1.4591856e-12    7.2013346e-13          4865083         486.5083        6.1142549 
      -0.65626017                0           0.3835        4783979.6   -1.0458061e-06       -7231.2046        478.39796   -1.0458061e-10      -0.72312046        6.0123273   -1.3143301e-12    -0.0090879084        4783985.1        478.39851        6.0123341 
       -0.4327805                0           0.3835        4829719.5    8.8844477e-07        -4752.302        482.97195    8.8844477e-11       -0.4752302        6.0698115    1.1165643e-12     -0.005972516        4829721.9        482.97219        6.0698144 
      -0.20930083                0           0.3835        4856594.5    1.5813885e-06       -2289.3632        485.65945    1.5813885e-10      -0.22893632        6.1035869    1.9874301e-12    -0.0028771863          4856595         485.6595        6.1035876 
       0.20930083                0           0.3835        4856594.5    2.4341494e-07        2289.3632        485.65945    2.4341494e-11       0.22893632        6.1035869    3.0591483e-13     0.0028771863          4856595         485.6595        6.1035876 
        0.4327805                0           0.3835        4829719.5   -3.7084345e-06         4752.302        482.97195   -3.7084345e-10        0.4752302        6.0698115   -4.6606223e-12      0.005972516        4829721.9        482.97219        6.0698144 
       0.65626017                0           0.3835        4783979.6    3.1419369e-06        7231.2046        478.39796    3.1419369e-10       0.72312046        6.0123273    3.9486692e-12     0.0090879084        4783985.1        478.39851        6.0123341 
       -2.7792273                0           0.3835          3373923   -4.7816056e-07       -29427.642         337.3923   -4.7816056e-11       -2.9427642        4.2402206   -6.0093437e-13     -0.036983563        3374051.3        337.40513        4.2403819 
       -2.5876818                0           0.3835        3569217.8    4.7542189e-08        -29831.63        356.92178    4.7542189e-12        -2.983163        4.4856599    5.9749251e-14     -0.037491281        3569342.5        356.93425        4.4858166 
       -2.3961364                0           0.3835        3757639.1    9.0449189e-07       -27742.961        375.76391    9.0449189e-11       -2.7742961        4.7224608    1.1367317e-12     -0.034866319        3757741.5        375.77415        4.7225895 
       -2.2045909                0           0.3835        3931513.1   -1.9670354e-07       -25399.777        393.15131   -1.9670354e-11       -2.5399777        4.9409792   -2.4720968e-13     -0.031921493        3931595.2        393.15952        4.9410823 
       -2.0130455                0           0.3835        4089935.1    3.0054205e-08       -23024.972        408.99351    3.0054205e-12       -2.3024972         5.140078    3.7771005e-14     -0.028936926        4089999.9        408.99999        5.1401594 
          -1.8215                0           0.3835        4232904.7    4.9134268e-07       -20677.792        423.29047    4.9134268e-11       -2.0677792        5.3197569    6.1750116e-13     -0.025987078        4232955.2        423.29552        5.3198204 
       -1.6299545                0           0.3835        4360654.4   -1.4671732e-06       -18372.945        436.06544   -1.4671732e-10       -1.8372945        5.4803079   -1.8438886e-12     -0.023090432        4360693.1        436.06931        5.4803566 
       -1.4384091                0           0.3835        4473465.2    -1.767746e-06       -16111.306        447.34652    -1.767746e-10       -1.6111306        5.6220843   -2.2216372e-12     -0.020248089        4473494.2        447.34942        5.6221207 
       -1.2468636                0           0.3835          4571608     5.154345e-07         -13889.1         457.1608     5.154345e-11         -1.38891        5.7454266    6.4777887e-13     -0.017455303        4571629.1        457.16291        5.7454531 
       -1.0553182                0           0.3835        4655325.5    1.3268912e-06       -11701.166        465.53255    1.3268912e-10       -1.1701166        5.8506396    1.6675874e-12     -0.014705589        4655340.2        465.53402        5.8506581 
      -0.86377273                0           0.3835        4724851.3    5.5614523e-07       -9549.2349        472.48513    5.5614523e-11      -0.95492349         5.938017    6.9894259e-13     -0.012001123        4724860.9        472.48609        5.9380291 

