%    UNITS: X,Y,Z in m;  Magnetic Field Intensity in Amps/meter
%           X (m)            Y (m)            Z (m)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
           -0.254                0                0       0.29631098    1.7656151e-21   -5.6855878e-21         8.296311    1.7656151e-21   -5.6855878e-21 
         -0.24892                0                0       0.31842368   -2.0756726e-21    3.9002579e-21        8.3184237   -2.0756726e-21    3.9002579e-21 
         -0.24384                0                0       0.34289029    9.3022053e-22   -1.2513972e-20        8.3428903    9.3022053e-22   -1.2513972e-20 
         -0.23876                0                0        0.3700453   -2.6473495e-22   -6.2906838e-21        8.3700453   -2.6473495e-22   -6.2906838e-21 
         -0.23368                0                0       0.40028396    5.2535448e-22   -5.8333541e-22         8.400284    5.2535448e-22   -5.8333541e-22 
          -0.2286                0                0       0.43407591    2.2412499e-21   -3.7435781e-22        8.4340759    2.2412499e-21   -3.7435781e-22 
         -0.22352                0                0       0.47198266   -1.2770728e-21    -3.475479e-21        8.4719827   -1.2770728e-21    -3.475479e-21 
         -0.21844                0                0       0.51467982    8.6337761e-22    1.6865858e-20        8.5146798    8.6337761e-22    1.6865858e-20 
         -0.21336                0                0       0.56298608   -7.1215942e-22   -1.2042234e-20        8.5629861   -7.1215942e-22   -1.2042234e-20 
         -0.20828                0                0       0.61790102   -6.8073464e-21   -4.8425744e-21         8.617901   -6.8073464e-21   -4.8425744e-21 
          -0.2032                0                0       0.68065514    8.2377262e-21   -8.9101468e-21        8.6806551    8.2377262e-21   -8.9101468e-21 
         -0.19812                0                0       0.75277681   -8.8646627e-21   -5.0727605e-21        8.7527768   -8.8646627e-21   -5.0727605e-21 
         -0.19304                0                0       0.83618291    5.4016171e-21    1.4837544e-20        8.8361829    5.4016171e-21    1.4837544e-20 
         -0.18796                0                0       0.93330336   -1.0016958e-20    2.1991605e-20        8.9333034   -1.0016958e-20    2.1991605e-20 
         -0.18288                0                0        1.0472547   -3.4901436e-21   -1.6658402e-20        9.0472547   -3.4901436e-21   -1.6658402e-20 
          -0.1778                0                0        1.1820859    1.1001495e-20   -1.2998953e-20        9.1820859    1.1001495e-20   -1.2998953e-20 
         -0.17272                0                0        1.3431331   -2.9120337e-20   -3.6458164e-20        9.3431331   -2.9120337e-20   -3.6458164e-20 
         -0.16764                0                0        1.5375404    -1.533307e-20    5.7667541e-20        9.5375404    -1.533307e-20    5.7667541e-20 
         -0.16256                0                0        1.7750425   -1.6327854e-22   -1.4441403e-19        9.7750425   -1.6327854e-22   -1.4441403e-19 
         -0.15748                0                0        2.0691659    1.6861527e-21   -2.6461249e-20        10.069166    1.6861527e-21   -2.6461249e-20 
          -0.1524                0                0         2.439119   -9.0221352e-22    2.3997128e-19        10.439119   -9.0221352e-22    2.3997128e-19 
         -0.14732                0                0        2.9128426    4.7327679e-20    1.6054264e-19        10.912843    4.7327679e-20    1.6054264e-19 
         -0.14224                0                0        3.5320537      6.42252e-20    3.4015135e-19        11.532054      6.42252e-20    3.4015135e-19 
         -0.13716                0                0        4.3607533   -2.5242584e-20    6.0847308e-20        12.360753   -2.5242584e-20    6.0847308e-20 
         -0.13208                0                0        5.4996278    1.4814912e-20    8.3747449e-20        13.499628    1.4814912e-20    8.3747449e-20 
           -0.127                0                0           7.1093    6.1835064e-20   -5.6515686e-19          15.1093    6.1835064e-20   -5.6515686e-19 
         -0.12192                0                0        9.4392301    5.3886107e-20    1.8146921e-18         17.43923    5.3886107e-20    1.8146921e-18 
         -0.11684                0                0        12.807702   -5.1577133e-20    1.6604762e-18        20.807702   -5.1577133e-20    1.6604762e-18 
         -0.11176                0                0        17.178559   -4.4711774e-20    1.2988506e-17        25.178559   -4.4711774e-20    1.2988506e-17 
         -0.10668                0                0        19.907533    8.5689932e-20    8.5437383e-18        27.907533    8.5689932e-20    8.5437383e-18 
          -0.1016                0                0        13.206689    1.3768639e-19    1.6301148e-17        21.206689    1.3768639e-19    1.6301148e-17 
         -0.09652                0                0       0.84305763   -1.5754733e-19    -2.775589e-17        8.8430576   -1.5754733e-19    -2.775589e-17 
         -0.09144                0                0       -5.2087913    1.1417888e-20   -4.9876615e-18        2.7912087    1.1417888e-20   -4.9876615e-18 
         -0.08636                0                0       -6.9578594    9.4690836e-20    8.5216385e-17        1.0421406    9.4690836e-20    8.5216385e-17 
         -0.08128                0                0       -7.3545225    -1.189582e-19   -9.4316896e-17       0.64547748    -1.189582e-19   -9.4316896e-17 
          -0.0762                0                0       -7.3363018    3.0334069e-19    -6.017357e-17       0.66369819    3.0334069e-19    -6.017357e-17 
         -0.07112                0                0       -7.1244738    3.4437805e-19    5.9158457e-18       0.87552618    3.4437805e-19    5.9158457e-18 
         -0.06604                0                0       -6.8902657    -1.695695e-18   -1.5466959e-17        1.1097343    -1.695695e-18   -1.5466959e-17 
         -0.06096                0                0       -6.7507811    2.0394851e-18    5.1583499e-17        1.2492189    2.0394851e-18    5.1583499e-17 
         -0.05588                0                0       -6.6704424    2.1610276e-19   -9.7722134e-17        1.3295576    2.1610276e-19   -9.7722134e-17 
          -0.0508                0                0       -6.6123625   -4.3890847e-18    -1.125355e-17        1.3876375   -4.3890847e-18    -1.125355e-17 
         -0.04572                0                0       -6.5641417    6.4920172e-19    3.9290726e-17        1.4358583    6.4920172e-19    3.9290726e-17 
         -0.04064                0                0       -6.5223569   -1.7943888e-18   -9.9449999e-17        1.4776431   -1.7943888e-18   -9.9449999e-17 
         -0.03556                0                0       -6.4860395   -1.0719853e-18   -7.3631814e-17        1.5139605   -1.0719853e-18   -7.3631814e-17 
         -0.03048                0                0       -6.4548644    1.1006653e-17    9.9047325e-18        1.5451356    1.1006653e-17    9.9047325e-18 
          -0.0254                0                0       -6.4286884    4.9625246e-18   -6.6120613e-17        1.5713116    4.9625246e-18   -6.6120613e-17 
         -0.02032                0                0       -6.4074335    2.0125392e-17    1.5983649e-16        1.5925665    2.0125392e-17    1.5983649e-16 
         -0.01524                0                0       -6.3909968      3.41525e-17    8.4250967e-17        1.6090032      3.41525e-17    8.4250967e-17 
         -0.01016                0                0       -6.3792766    3.9027787e-17   -1.6432188e-16        1.6207234    3.9027787e-17   -1.6432188e-16 
         -0.00508                0                0       -6.3722564   -1.1338846e-16   -2.6041517e-16        1.6277436   -1.1338846e-16   -2.6041517e-16 
                0                0                0       -6.3699401                0                0        1.6300599                0                0 
          0.00508                0                0       -6.3722564   -2.1696757e-17     4.282855e-17        1.6277436   -2.1696757e-17     4.282855e-17 
          0.01016                0                0       -6.3792766   -5.0437405e-17    4.9468453e-19        1.6207234   -5.0437405e-17    4.9468453e-19 
          0.01524                0                0       -6.3909968    6.4992792e-17    3.3256655e-17        1.6090032    6.4992792e-17    3.3256655e-17 
          0.02032                0                0       -6.4074335   -5.7697102e-17    1.0102259e-16        1.5925665   -5.7697102e-17    1.0102259e-16 
           0.0254                0                0       -6.4286884   -4.4509291e-17   -6.7217836e-17        1.5713116   -4.4509291e-17   -6.7217836e-17 
          0.03048                0                0       -6.4548644   -2.5877446e-17    2.1012387e-16        1.5451356   -2.5877446e-17    2.1012387e-16 
          0.03556                0                0       -6.4860395     6.983585e-17   -1.3419321e-16        1.5139605     6.983585e-17   -1.3419321e-16 
          0.04064                0                0       -6.5223569    -2.588057e-17    2.1283385e-17        1.4776431    -2.588057e-17    2.1283385e-17 
          0.04572                0                0       -6.5641417   -1.3104661e-17    1.3953431e-18        1.4358583   -1.3104661e-17    1.3953431e-18 
           0.0508                0                0       -6.6123625   -7.2464776e-17    -5.611553e-17        1.3876375   -7.2464776e-17    -5.611553e-17 
          0.05588                0                0       -6.6704424    2.9698516e-17   -1.3778211e-16        1.3295576    2.9698516e-17   -1.3778211e-16 
          0.06096                0                0       -6.7507811   -1.5442026e-17    7.4932572e-17        1.2492189   -1.5442026e-17    7.4932572e-17 
          0.06604                0                0       -6.8902657    6.8570266e-18    -9.720803e-17        1.1097343    6.8570266e-18    -9.720803e-17 
