%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ
      0.068755435     0.0010916536      0.009688694        1183.9666       0.21305568        8.3196715 
      0.068755435     0.0032202209     0.0092028625        1188.7838        1.7828817        8.1602372 
      0.068755435     0.0051873127     0.0082555609        1188.5738         4.092808        7.2204214 
      0.068755435     0.0068942911     0.0068942911        1188.5564        5.8627834        5.8627834 
      0.068755435     0.0082555609     0.0051873127        1188.5738        7.2204214         4.092808 
      0.068755435     0.0092028625     0.0032202209        1188.7838        8.1602372        1.7828817 
      0.068755435      0.009688694     0.0010916536        1183.9666        8.3196715       0.21305568 
      0.066566304     0.0010916536      0.009688694        1208.1752       0.80895523        9.1776557 
      0.066566304     0.0032202209     0.0092028625        1214.4013        2.6509833        8.8304777 
      0.066566304     0.0051873127     0.0082555609        1214.0685        4.6850726        7.9339592 
      0.066566304     0.0068942911     0.0068942911        1214.0084         6.512796         6.512796 
      0.066566304     0.0082555609     0.0051873127        1214.0685        7.9339592        4.6850726 
      0.066566304     0.0092028625     0.0032202209        1214.4013        8.8304777        2.6509833 
      0.066566304      0.009688694     0.0010916536        1208.1752        9.1776557       0.80895523 
      0.064377174     0.0010916536      0.009688694        1234.3575       0.92165587          9.12251 
      0.064377174     0.0032202209     0.0092028625        1240.9571        2.8378889        8.7203964 
      0.064377174     0.0051873127     0.0082555609        1240.7683        4.7649888        7.8339371 
      0.064377174     0.0068942911     0.0068942911        1240.7242        6.4829706        6.4829706 
      0.064377174     0.0082555609     0.0051873127        1240.7683        7.8339371        4.7649888 
      0.064377174     0.0092028625     0.0032202209        1240.9571        8.7203964        2.8378889 
      0.064377174      0.009688694     0.0010916536        1234.3575          9.12251       0.92165587 
      0.062188043     0.0010916536      0.009688694        1260.4176       0.93317862        8.9114726 
      0.062188043     0.0032202209     0.0092028625        1267.2192        2.8407503        8.4985948 
      0.062188043     0.0051873127     0.0082555609        1267.0985        4.7024093        7.6271312 
      0.062188043     0.0068942911     0.0068942911        1267.0786        6.3356092        6.3356092 
      0.062188043     0.0082555609     0.0051873127        1267.0985        7.6271312        4.7024093 
      0.062188043     0.0092028625     0.0032202209        1267.2192        8.4985948        2.8407503 
      0.062188043      0.009688694     0.0010916536        1260.4176        8.9114726       0.93317862 
      0.059998913     0.0010916536      0.009688694        1285.8566       0.91602612         8.630881 
      0.059998913     0.0032202209     0.0092028625        1292.8186        2.7773178        8.2233566 
      0.059998913     0.0051873127     0.0082555609        1292.7236        4.5732357        7.3767387 
      0.059998913     0.0068942911     0.0068942911        1292.7154        6.1370991        6.1370991 
      0.059998913     0.0082555609     0.0051873127        1292.7236        7.3767387        4.5732357 
      0.059998913     0.0092028625     0.0032202209        1292.8186        8.2233566        2.7773178 
      0.059998913      0.009688694     0.0010916536        1285.8566         8.630881       0.91602612 
      0.057809783     0.0010916536      0.009688694        1310.4752       0.88753635         8.318457 
      0.057809783     0.0032202209     0.0092028625        1317.5793        2.6868099        7.9227321 
      0.057809783     0.0051873127     0.0082555609        1317.4935        4.4150624        7.1057047 
      0.057809783     0.0068942911     0.0068942911        1317.4901        5.9153199        5.9153199 
      0.057809783     0.0082555609     0.0051873127        1317.4935        7.1057047        4.4150624 
      0.057809783     0.0092028625     0.0032202209        1317.5793        7.9227321        2.6868099 
      0.057809783      0.009688694     0.0010916536        1310.4752         8.318457       0.88753635 
      0.055620652     0.0010916536      0.009688694        1334.1821       0.85435417        7.9906283 
      0.055620652     0.0032202209     0.0092028625        1341.4182        2.5847956         7.609358 
      0.055620652     0.0051873127     0.0082555609        1341.3352         4.243926        6.8241135 
      0.055620652     0.0068942911     0.0068942911        1341.3336        5.6823427        5.6823427 
      0.055620652     0.0082555609     0.0051873127        1341.3352        6.8241135         4.243926 
      0.055620652     0.0092028625     0.0032202209        1341.4182         7.609358        2.5847957 
      0.055620652      0.009688694     0.0010916536        1334.1821        7.9906283       0.85435417 
      0.053431522     0.0010916536      0.009688694        1356.9344       0.81922886        7.6556624 
      0.053431522     0.0032202209     0.0092028625        1364.2952        2.4779322        7.2899356 
      0.053431522     0.0051873127     0.0082555609        1364.2126        4.0671259        6.5374463 
      0.053431522     0.0068942911     0.0068942911        1364.2117        5.4441955        5.4441955 
      0.053431522     0.0082555609     0.0051873127        1364.2126        6.5374463        4.0671259 
      0.053431522     0.0092028625     0.0032202209        1364.2952        7.2899356        2.4779322 
      0.053431522      0.009688694     0.0010916536        1356.9344        7.6556624       0.81922886 
      0.051242391     0.0010916536      0.009688694         1378.713       0.78336267        7.3180437 
      0.051242391     0.0032202209     0.0092028625        1386.1925        2.3692236        6.9682777 
      0.051242391     0.0051873127     0.0082555609        1386.1093        3.8881871        6.2489107 
      0.051242391     0.0068942911     0.0068942911        1386.1087        5.2041249        5.2041249 
      0.051242391     0.0082555609     0.0051873127        1386.1093        6.2489107        3.8881871 
      0.051242391     0.0092028625     0.0032202209        1386.1925        6.9682777        2.3692236 
      0.051242391      0.009688694     0.0010916536         1378.713        7.3180437       0.78336267 
      0.049053261     0.0010916536      0.009688694        1399.5116       0.74730888        6.9803172 
      0.049053261     0.0032202209     0.0092028625        1407.1042         2.260099        6.6466296 
      0.049053261     0.0051873127     0.0082555609        1407.0199        3.7089085         5.960437 
      0.049053261     0.0068942911     0.0068942911        1407.0195        4.9639635        4.9639635 
      0.049053261     0.0082555609     0.0051873127        1407.0199         5.960437        3.7089085 
      0.049053261     0.0092028625     0.0032202209        1407.1042        6.6466296         2.260099 
      0.049053261      0.009688694     0.0010916536        1399.5116        6.9803172       0.74730888 
