%    UNITS: X,Y,Z in m;  Magnetic Field Intensity in Amps/meter
%           X (m)            Y (m)            Z (m)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
           -0.254                0                0       0.12656469    7.8906385e-22   -2.4975165e-21        8.1265647    7.8906385e-22   -2.4975165e-21 
         -0.24892                0                0       0.13617167   -9.9257205e-22    1.4641044e-21        8.1361717   -9.9257205e-22    1.4641044e-21 
         -0.24384                0                0       0.14682112    1.9840421e-22   -6.0756047e-21        8.1468211    1.9840421e-22   -6.0756047e-21 
         -0.23876                0                0       0.15866416    1.3729053e-22   -3.8231233e-21        8.1586642    1.3729053e-22   -3.8231233e-21 
         -0.23368                0                0       0.17187993    2.9031528e-22   -5.8364075e-22        8.1718799    2.9031528e-22   -5.8364075e-22 
          -0.2286                0                0       0.18668198    9.2988858e-22   -4.7491037e-22         8.186682    9.2988858e-22   -4.7491037e-22 
         -0.22352                0                0       0.20332648   -7.2773162e-22   -2.4577015e-22        8.2033265   -7.2773162e-22   -2.4577015e-22 
         -0.21844                0                0        0.2221228      6.59271e-22    7.1503253e-21        8.2221228      6.59271e-22    7.1503253e-21 
         -0.21336                0                0       0.24344723   -1.4215387e-22   -5.0152376e-21        8.2434472   -1.4215387e-22   -5.0152376e-21 
         -0.20828                0                0       0.26776106   -2.9246136e-21   -2.5711696e-21        8.2677611   -2.9246136e-21   -2.5711696e-21 
          -0.2032                0                0       0.29563452    3.9327558e-21   -2.1653557e-21        8.2956345    3.9327558e-21   -2.1653557e-21 
         -0.19812                0                0       0.32777908   -3.3943674e-21   -1.3772699e-21        8.3277791   -3.3943674e-21   -1.3772699e-21 
         -0.19304                0                0       0.36509127    2.6311739e-21    7.0064723e-21        8.3650913    2.6311739e-21    7.0064723e-21 
         -0.18796                0                0       0.40871323   -4.4840076e-21    8.9072623e-21        8.4087132   -4.4840076e-21    8.9072623e-21 
         -0.18288                0                0       0.46011761   -1.1776516e-21    -4.634403e-21        8.4601176   -1.1776516e-21    -4.634403e-21 
          -0.1778                0                0       0.52122835    4.6792892e-21   -5.5453874e-21        8.5212284    4.6792892e-21   -5.5453874e-21 
         -0.17272                0                0        0.5945959    -1.294306e-20   -1.8344603e-20        8.5945959    -1.294306e-20   -1.8344603e-20 
         -0.16764                0                0       0.68365623   -8.3218831e-21    2.5820928e-20        8.6836562   -8.3218831e-21    2.5820928e-20 
         -0.16256                0                0       0.79312199   -8.5092671e-22   -7.0466804e-20         8.793122   -8.5092671e-22   -7.0466804e-20 
         -0.15748                0                0       0.92958685    5.6384871e-22   -2.8290013e-20        8.9295868    5.6384871e-22   -2.8290013e-20 
          -0.1524                0                0        1.1024823    1.1110329e-21    1.1733853e-19        9.1024823    1.1110329e-21    1.1733853e-19 
         -0.14732                0                0        1.3256316    1.9715286e-20    6.8136549e-20        9.3256316    1.9715286e-20    6.8136549e-20 
         -0.14224                0                0        1.6198359     2.688122e-20    1.8074878e-19        9.6198359     2.688122e-20    1.8074878e-19 
         -0.13716                0                0        2.0172629   -7.2007314e-21    3.1259366e-20        10.017263   -7.2007314e-21    3.1259366e-20 
         -0.13208                0                0        2.5689177    7.4408982e-21    1.9919859e-20        10.568918    7.4408982e-21    1.9919859e-20 
           -0.127                0                0        3.3567425    2.4816787e-20   -2.8713228e-19        11.356743    2.4816787e-20   -2.8713228e-19 
         -0.12192                0                0        4.5085288     2.529753e-20    1.0232161e-18        12.508529     2.529753e-20    1.0232161e-18 
         -0.11684                0                0        6.1857286    -2.151006e-20    7.2378059e-19        14.185729    -2.151006e-20    7.2378059e-19 
         -0.11176                0                0        8.3494315   -2.2479302e-20    6.9546509e-18        16.349431   -2.2479302e-20    6.9546509e-18 
         -0.10668                0                0         9.517535    4.4115277e-20    4.8499124e-18        17.517535    4.4115277e-20    4.8499124e-18 
          -0.1016                0                0        5.4091833    5.9908875e-20    8.3639842e-18        13.409183    5.9908875e-20    8.3639842e-18 
