%    UNITS: X,Y,Z in m;  Magnetic Field Intensity in Amps/meter
%           X (m)            Y (m)            Z (m)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
                0                0                0    0.00037031072                0                0        8.0003703                0                0 
          0.00508                0                0    0.00053173098   -1.0797049e-19    2.1181795e-19        8.0005317   -1.0797049e-19    2.1181795e-19 
          0.01016                0                0     0.0010368258   -2.5272742e-19    1.8327259e-21        8.0010368   -2.5272742e-19    1.8327259e-21 
          0.01524                0                0     0.0019525656    3.2516231e-19    1.5866435e-19        8.0019526    3.2516231e-19    1.5866435e-19 
          0.02032                0                0     0.0034059317   -2.8348126e-19    5.1111125e-19        8.0034059   -2.8348126e-19    5.1111125e-19 
           0.0254                0                0     0.0056119227   -2.2804064e-19   -3.7775091e-19        8.0056119   -2.2804064e-19   -3.7775091e-19 
          0.03048                0                0     0.0089247669   -1.3589552e-19    1.0848352e-18        8.0089248   -1.3589552e-19    1.0848352e-18 
          0.03556                0                0      0.013928914    3.6583585e-19   -6.9759929e-19        8.0139289    3.6583585e-19   -6.9759929e-19 
          0.04064                0                0      0.021595972   -1.3038275e-19    9.7094997e-20         8.021596   -1.3038275e-19    9.7094997e-20 
          0.04572                0                0        0.0335257   -9.2639817e-20    1.4737697e-20        8.0335257   -9.2639817e-20    1.4737697e-20 
           0.0508                0                0      0.052124702   -4.0975578e-19   -3.5170292e-19        8.0521247   -4.0975578e-19   -3.5170292e-19 
          0.05588                0                0       0.07946701     1.472752e-19   -8.6695404e-19         8.079467     1.472752e-19   -8.6695404e-19 
          0.06096                0                0       0.10785948   -2.5584275e-19    6.1228224e-19        8.1078595   -2.5584275e-19    6.1228224e-19 
          0.06604                0                0      0.081581117   -2.2333646e-21   -4.7663006e-19        8.0815811   -2.2333646e-21   -4.7663006e-19 
          0.07112                0                0      -0.10062573    2.4902099e-19    1.1631142e-18        7.8993743    2.4902099e-19    1.1631142e-18 
           0.0762                0                0      -0.30933209    4.7977311e-19   -1.1143651e-18        7.6906679    4.7977311e-19   -1.1143651e-18 
          0.08128                0                0      -0.38921315    1.5399067e-19   -1.3978902e-18        7.6107869    1.5399067e-19   -1.3978902e-18 
          0.08636                0                0      -0.42947585   -2.3455925e-19    7.2843632e-19        7.5705242   -2.3455925e-19    7.2843632e-19 
          0.09144                0                0      -0.47636785    2.7665219e-20    1.1918629e-18        7.5236322    2.7665219e-20    1.1918629e-18 
          0.09652                0                0      -0.41670087    1.1561301e-19    1.0649998e-18        7.5832991    1.1561301e-19    1.0649998e-18 
           0.1016                0                0     -0.017078578   -8.7347048e-20    8.8443577e-19        7.9829214   -8.7347048e-20    8.8443577e-19 
          0.10668                0                0       0.33559839   -4.1373515e-19    -7.742798e-19        8.3355984   -4.1373515e-19    -7.742798e-19 
          0.11176                0                0       0.33482215   -1.0818662e-19     2.037296e-19        8.3348221   -1.0818662e-19     2.037296e-19 
          0.11684                0                0       0.24351088    2.2630754e-21    6.9359216e-21        8.2435109    2.2630754e-21    6.9359216e-21 
          0.12192                0                0       0.16952797   -3.8950603e-20     1.333277e-19         8.169528   -3.8950603e-20     1.333277e-19 
            0.127                0                0        0.1201745     1.711427e-21   -2.2716703e-20        8.1201745     1.711427e-21   -2.2716703e-20 
          0.13208                0                0      0.087811943   -1.9992533e-21   -4.0066105e-21        8.0878119   -1.9992533e-21   -4.0066105e-21 
          0.13716                0                0      0.066114975   -7.0653562e-21   -1.4473818e-20         8.066115   -7.0653562e-21   -1.4473818e-20 
          0.14224                0                0      0.051119745    1.1851279e-21    1.7563991e-20        8.0511197    1.1851279e-21    1.7563991e-20 
          0.14732                0                0      0.040440681   -1.2324558e-21    2.3433727e-21        8.0404407   -1.2324558e-21    2.3433727e-21 
           0.1524                0                0      0.032625348   -2.2122425e-21    2.1022048e-21        8.0326253   -2.2122425e-21    2.1022048e-21 
          0.15748                0                0       0.02676631    1.2195115e-21   -4.2894407e-21        8.0267663    1.2195115e-21   -4.2894407e-21 
          0.16256                0                0      0.022280034   -4.0692442e-22   -2.8476545e-21          8.02228   -4.0692442e-22   -2.8476545e-21 
          0.16764                0                0      0.018780597   -8.2086768e-22   -1.3268549e-21        8.0187806   -8.2086768e-22   -1.3268549e-21 
