%           X (m)            Y (m)            Z (m)         RealPolX         RealPolY         RealPolZ       RealFieldX       RealFieldY       RealFieldZ        RealFluxX        RealFluxY        RealFluxZ            |Pol|          |Field|           |Flux|
      0.068755435     0.0010916536      0.009688694        8.4303274     0.0036304637      0.032234763        8.4303274     0.0036304637      0.032234763    2.1187724e-05    9.1243505e-09    8.1014796e-08        8.4303898        8.4303898    2.1187881e-05 
      0.066566304     0.0010916536      0.009688694        8.2763431    -0.0042864069     -0.038039988        8.2763431    -0.0042864069     -0.038039988    2.0800719e-05   -1.0772915e-08   -9.5604918e-08        8.2764317        8.2764317    2.0800942e-05 
      0.064377174     0.0010916536      0.009688694        8.1899592    -0.0044186079     -0.039215837        8.1899592    -0.0044186079     -0.039215837    2.0583613e-05   -1.1105173e-08   -9.8560148e-08        8.1900543        8.1900543    2.0583852e-05 
      0.062188043     0.0010916536      0.009688694        8.1400433    -0.0038244193     -0.033942563        8.1400433    -0.0038244193     -0.033942563     2.045816e-05    -9.611814e-09   -8.5306965e-08        8.1401149        8.1401149     2.045834e-05 
      0.059998913     0.0010916536      0.009688694        8.1076874    -0.0031671787     -0.028109479        8.1076874    -0.0031671787     -0.028109479    2.0376841e-05   -7.9599882e-09   -7.0646827e-08        8.1077368        8.1077368    2.0376965e-05 
      0.057809783     0.0010916536      0.009688694         8.085023    -0.0025818234     -0.022914331         8.085023    -0.0025818234     -0.022914331    2.0319879e-05   -6.4888298e-09   -5.7589996e-08        8.0850558        8.0850558    2.0319962e-05 
      0.055620652     0.0010916536      0.009688694        8.0682848    -0.0020927798     -0.018573954        8.0682848    -0.0020927798     -0.018573954    2.0277811e-05   -5.2597293e-09   -4.6681438e-08        8.0683065        8.0683065    2.0277866e-05 
      0.053431522     0.0010916536      0.009688694        8.0554704    -0.0016947997     -0.015041782        8.0554704    -0.0016947997     -0.015041782    2.0245605e-05   -4.2594962e-09   -3.7804121e-08        8.0554846        8.0554846    2.0245641e-05 
      0.051242391     0.0010916536      0.009688694        8.0454148    -0.0013747363     -0.012201138        8.0454148    -0.0013747363     -0.012201138    2.0220333e-05   -3.4550893e-09   -3.0664805e-08        8.0454242        8.0454242    2.0220356e-05 
      0.049053261     0.0010916536      0.009688694        8.0373867    -0.0011185515    -0.0099274323        8.0373867    -0.0011185515    -0.0099274323    2.0200156e-05   -2.8112265e-09   -2.4950359e-08        8.0373929        8.0373929    2.0200172e-05 
       0.04686413     0.0010916536      0.009688694        8.0308965   -0.00091364288    -0.0081088158        8.0308965   -0.00091364288    -0.0081088158    2.0183844e-05    -2.296235e-09   -2.0379677e-08        8.0309006        8.0309006    2.0183855e-05 
