%    UNITS: X,Y,Z in m;  Magnetic Field Intensity in Amps/meter
%           X (m)            Y (m)            Z (m)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
     0.0005416665                0                0    0.00037212719    2.3162654e-20    6.2737175e-20        8.0003721    2.3162654e-20    6.2737175e-20 
     0.0005416665    9.9842685e-05    5.6070449e-06    0.00037209622   -3.3485768e-07    -1.880517e-08        8.0003721   -3.3485768e-07    -1.880517e-08 
     0.0005416665    0.00019968537     1.121409e-05     0.0003720033   -6.6970417e-07   -3.7609506e-08         8.000372   -6.6970417e-07   -3.7609506e-08 
     0.0005416665    0.00029952806    1.6821135e-05    0.00037184843   -1.0045283e-06   -5.6412174e-08        8.0003718   -1.0045283e-06   -5.6412174e-08 
     0.0005416665    0.00039937074     2.242818e-05    0.00037163164   -1.3393187e-06   -7.5212338e-08        8.0003716   -1.3393187e-06   -7.5212338e-08 
     0.0005416665    0.00049921343    2.8035225e-05    0.00037135291   -1.6740644e-06   -9.4009159e-08        8.0003714   -1.6740644e-06   -9.4009159e-08 
     0.0005416665    0.00059905611     3.364227e-05    0.00037101226   -2.0087541e-06    -1.128018e-07         8.000371   -2.0087541e-06    -1.128018e-07 
     0.0005416665     0.0006988988    3.9249315e-05     0.0003706097   -2.3433765e-06    -1.315894e-07        8.0003706   -2.3433765e-06    -1.315894e-07 
     0.0005416665    0.00079874148     4.485636e-05    0.00037014524   -2.6779204e-06   -1.5037113e-07        8.0003701   -2.6779204e-06   -1.5037113e-07 
     0.0005416665    0.00089858417    5.0463404e-05     0.0003696189   -3.0123746e-06   -1.6914612e-07        8.0003696   -3.0123746e-06   -1.6914612e-07 
     0.0005416665    0.00099842685    5.6070449e-05     0.0003690307   -3.3467277e-06    -1.879135e-07         8.000369   -3.3467277e-06    -1.879135e-07 
     0.0005416665     0.0010982695    6.1677494e-05    0.00036838066   -3.6809683e-06    -2.066724e-07        8.0003684   -3.6809683e-06    -2.066724e-07 
     0.0005416665     0.0011981122    6.7284539e-05    0.00036766879    -4.015085e-06   -2.2542192e-07        8.0003677    -4.015085e-06   -2.2542192e-07 
     0.0005416665     0.0012979549    7.2891584e-05    0.00036689513   -4.3490659e-06   -2.4416115e-07        8.0003669   -4.3490659e-06   -2.4416115e-07 
