%    UNITS: X,Y,Z in in;  Magnetic Field Intensity in Amps/meter
%          X (in)           Y (in)           Z (in)        RealScatX        RealScatY        RealScatZ         RealTotX         RealTotY         RealTotZ
               -5                0                0        8207.1902   -8.4554586e-13   -2.1982416e-11         28207.19   -8.4554586e-13   -2.1982416e-11 
            -4.95                0                0        8813.0731   -7.7093887e-13   -2.2230218e-11        28813.073   -7.7093887e-13   -2.2230218e-11 
             -4.9                0                0        9480.3576   -1.0764722e-12   -2.2413182e-11        29480.358   -1.0764722e-12   -2.2413182e-11 
            -4.85                0                0        10215.734   -1.0231815e-12   -2.3371527e-11        30215.734   -1.0231815e-12   -2.3371527e-11 
             -4.8                0                0        11026.165   -1.3216095e-12   -2.3204549e-11        31026.165   -1.3216095e-12   -2.3204549e-11 
            -4.75                0                0        11918.547    -1.563194e-12   -2.3181457e-11        31918.547    -1.563194e-12   -2.3181457e-11 
             -4.7                0                0        12899.101   -1.6271429e-12   -2.3977265e-11        32899.101   -1.6271429e-12   -2.3977265e-11 
            -4.65                0                0        13972.356   -1.8829382e-12   -2.4851232e-11        33972.356   -1.8829382e-12   -2.4851232e-11 
             -4.6                0                0        15139.503   -1.6981971e-12   -2.4591884e-11        35139.503   -1.6981971e-12   -2.4591884e-11 
            -4.55                0                0        16395.806   -2.6147973e-12   -2.5412561e-11        36395.806   -2.6147973e-12   -2.5412561e-11 
             -4.5                0                0        17726.657   -2.9274361e-12   -2.5330849e-11        37726.657   -2.9274361e-12   -2.5330849e-11 
            -4.45                0                0        19101.841    -3.424816e-12   -2.3202773e-11        39101.841    -3.424816e-12   -2.3202773e-11 
             -4.4                0                0        20467.497   -2.9558578e-12   -2.7149838e-11        40467.497   -2.9558578e-12   -2.7149838e-11 
            -4.35                0                0        21736.226   -3.7090331e-12   -2.6865621e-11        41736.226   -3.7090331e-12   -2.6865621e-11 
             -4.3                0                0        22776.512   -2.3590019e-12   -3.2713388e-11        42776.512   -2.3590019e-12   -3.2713388e-11 
            -4.25                0                0        23406.126    -6.451728e-12   -3.7253756e-11        43406.126    -6.451728e-12   -3.7253756e-11 
             -4.2                0                0        23398.185   -6.3380412e-12   -3.1185721e-11        43398.185   -6.3380412e-12   -3.1185721e-11 
            -4.15                0                0        22512.609   -8.8959951e-12   -4.0756731e-11        42512.609   -8.8959951e-12   -4.0756731e-11 
             -4.1                0                0        20562.199   -9.4928509e-12    -2.960121e-11        40562.199   -9.4928509e-12    -2.960121e-11 
            -4.05                0                0        17502.861   -9.3791641e-12   -1.8999913e-11        37502.861   -9.3791641e-12   -1.8999913e-11 
               -4                0                0        13503.127   -1.4324542e-11   -3.5981884e-11        33503.127   -1.4324542e-11   -3.5981884e-11 
            -3.95                0                0        8934.6349   -1.5745627e-11   -2.2424729e-11        28934.635   -1.5745627e-11   -2.2424729e-11 
             -3.9                0                0        4266.0349   -1.4551915e-11   -1.7308821e-11        24266.035   -1.4551915e-11   -1.7308821e-11 
            -3.85                0                0       -79.118649   -8.9812602e-12   -1.0317081e-11        19920.881   -8.9812602e-12   -1.0317081e-11 
             -3.8                0                0       -3821.1497   -6.1390892e-12   -1.4836132e-11         16178.85   -6.1390892e-12   -1.4836132e-11 
            -3.75                0                0       -6845.4924    -4.888534e-12   -1.1709744e-11        13154.508    -4.888534e-12   -1.1709744e-11 
             -3.7                0                0        -9167.958    4.5474735e-13    7.4464879e-12        10832.042    4.5474735e-13    7.4464879e-12 
            -3.65                0                0       -10879.083   -2.9558578e-12   -4.6611603e-12        9120.9166   -2.9558578e-12   -4.6611603e-12 
             -3.6                0                0       -12095.518    4.5474735e-13    9.5496944e-12        7904.4822    4.5474735e-13    9.5496944e-12 
            -3.55                0                0       -12929.202   -1.1368684e-12    7.2759576e-12        7070.7978   -1.1368684e-12    7.2759576e-12 
             -3.5                0                0       -13474.299   -3.4106051e-12    8.5265128e-12        6525.7013   -3.4106051e-12    8.5265128e-12 
            -3.45                0                0       -13803.435    4.5474735e-13    2.8421709e-11        6196.5652    4.5474735e-13    2.8421709e-11 
             -3.4                0                0       -13969.463    -9.094947e-12    3.1150194e-11        6030.5374    -9.094947e-12    3.1150194e-11 
            -3.35                0                0       -14007.941   -1.3187673e-11    5.2978066e-11        5992.0593   -1.3187673e-11    5.2978066e-11 
             -3.3                0                0       -13941.046   -2.1827873e-11    3.8880899e-11        6058.9537   -2.1827873e-11    3.8880899e-11 
            -3.25                0                0        -13780.27   -2.2737368e-11    2.8649083e-11        6219.7297   -2.2737368e-11    2.8649083e-11 
